Transaction_Text,Amount,Debit_Account,Credit_Account,Transaction_Type
Electric utility charges,187569,Electricity Expense,Bank,Electricity Bill
Power bill payment,470713,Electricity Expense,Bank,Electricity Bill
Electric utility charges,118436,Electricity Expense,Bank,Electricity Bill
Monthly power expense,270934,Electricity Expense,Bank,Electricity Bill
Monthly power expense,96866,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,443417,Electricity Expense,Bank,Electricity Bill
Power bill payment,334018,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,443562,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,38420,Electricity Expense,Bank,Electricity Bill
Power bill payment,333004,Electricity Expense,Bank,Electricity Bill
Electric utility charges,229392,Electricity Expense,Bank,Electricity Bill
Power bill payment,415403,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,157486,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,495767,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,22284,Electricity Expense,Bank,Electricity Bill
Monthly power expense,489844,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,468480,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,409168,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,275985,Electricity Expense,Bank,Electricity Bill
Power bill payment,327625,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,128158,Electricity Expense,Bank,Electricity Bill
Power bill payment,8574,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,202112,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,395899,Electricity Expense,Bank,Electricity Bill
Electric utility charges,33321,Electricity Expense,Bank,Electricity Bill
Electric utility charges,256073,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,142836,Electricity Expense,Bank,Electricity Bill
Electric utility charges,253956,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,71005,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,73130,Electricity Expense,Bank,Electricity Bill
Electric utility charges,111981,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,29952,Electricity Expense,Bank,Electricity Bill
Monthly power expense,337883,Electricity Expense,Bank,Electricity Bill
Monthly power expense,67213,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,383293,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,394641,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,491252,Electricity Expense,Bank,Electricity Bill
Monthly power expense,436919,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,90078,Electricity Expense,Bank,Electricity Bill
Electric utility charges,39949,Electricity Expense,Bank,Electricity Bill
Electric utility charges,236923,Electricity Expense,Bank,Electricity Bill
Electric utility charges,42269,Electricity Expense,Bank,Electricity Bill
Power bill payment,376765,Electricity Expense,Bank,Electricity Bill
Electric utility charges,205842,Electricity Expense,Bank,Electricity Bill
Power bill payment,422810,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,116603,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,165591,Electricity Expense,Bank,Electricity Bill
Power bill payment,431007,Electricity Expense,Bank,Electricity Bill
Power bill payment,67862,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,166895,Electricity Expense,Bank,Electricity Bill
Electric utility charges,466953,Electricity Expense,Bank,Electricity Bill
Electric utility charges,291632,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,452460,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,447580,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,420932,Electricity Expense,Bank,Electricity Bill
Electric utility charges,352016,Electricity Expense,Bank,Electricity Bill
Electric utility charges,1521,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,463093,Electricity Expense,Bank,Electricity Bill
Electric utility charges,430931,Electricity Expense,Bank,Electricity Bill
Monthly power expense,134931,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,383041,Electricity Expense,Bank,Electricity Bill
Electric utility charges,168956,Electricity Expense,Bank,Electricity Bill
Power bill payment,94076,Electricity Expense,Bank,Electricity Bill
Monthly power expense,247048,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,361503,Electricity Expense,Bank,Electricity Bill
Power bill payment,389540,Electricity Expense,Bank,Electricity Bill
Monthly power expense,131881,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,486853,Electricity Expense,Bank,Electricity Bill
Power bill payment,378775,Electricity Expense,Bank,Electricity Bill
Power bill payment,26056,Electricity Expense,Bank,Electricity Bill
Electric utility charges,348205,Electricity Expense,Bank,Electricity Bill
Electric utility charges,417158,Electricity Expense,Bank,Electricity Bill
Power bill payment,407621,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,407326,Electricity Expense,Bank,Electricity Bill
Power bill payment,69857,Electricity Expense,Bank,Electricity Bill
Electric utility charges,407734,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,244114,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,268620,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,28068,Electricity Expense,Bank,Electricity Bill
Electric utility charges,2557,Electricity Expense,Bank,Electricity Bill
Power bill payment,49609,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,357483,Electricity Expense,Bank,Electricity Bill
Power bill payment,499069,Electricity Expense,Bank,Electricity Bill
Electric utility charges,219034,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,224954,Electricity Expense,Bank,Electricity Bill
Electric utility charges,424522,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,132438,Electricity Expense,Bank,Electricity Bill
Electric utility charges,13365,Electricity Expense,Bank,Electricity Bill
Power bill payment,365395,Electricity Expense,Bank,Electricity Bill
Electric utility charges,473735,Electricity Expense,Bank,Electricity Bill
Monthly power expense,4420,Electricity Expense,Bank,Electricity Bill
Monthly power expense,94598,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,198654,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,322285,Electricity Expense,Bank,Electricity Bill
Monthly power expense,119850,Electricity Expense,Bank,Electricity Bill
Electric utility charges,494025,Electricity Expense,Bank,Electricity Bill
Electric utility charges,320593,Electricity Expense,Bank,Electricity Bill
Electric utility charges,495598,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,270607,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,380181,Electricity Expense,Bank,Electricity Bill
Electric utility charges,198177,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,286280,Electricity Expense,Bank,Electricity Bill
Power bill payment,8323,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,55177,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,68876,Electricity Expense,Bank,Electricity Bill
Power bill payment,318950,Electricity Expense,Bank,Electricity Bill
Monthly power expense,136356,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,212971,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,131961,Electricity Expense,Bank,Electricity Bill
Power bill payment,118874,Electricity Expense,Bank,Electricity Bill
Monthly power expense,292275,Electricity Expense,Bank,Electricity Bill
Monthly power expense,403892,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,101352,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,451390,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,111527,Electricity Expense,Bank,Electricity Bill
Electric utility charges,60518,Electricity Expense,Bank,Electricity Bill
Monthly power expense,108591,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,259711,Electricity Expense,Bank,Electricity Bill
Electric utility charges,217526,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,376888,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,162597,Electricity Expense,Bank,Electricity Bill
Monthly power expense,228357,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,281722,Electricity Expense,Bank,Electricity Bill
Monthly power expense,274184,Electricity Expense,Bank,Electricity Bill
Electric utility charges,304159,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,227405,Electricity Expense,Bank,Electricity Bill
Power bill payment,169349,Electricity Expense,Bank,Electricity Bill
Electricity bill paid,353003,Electricity Expense,Bank,Electricity Bill
Power bill payment,315044,Electricity Expense,Bank,Electricity Bill
Electric utility charges,129941,Electricity Expense,Bank,Electricity Bill
Monthly power expense,339984,Electricity Expense,Bank,Electricity Bill
Electricity charges settled,39333,Electricity Expense,Bank,Electricity Bill
Broadband charges,400228,Internet Expense,Bank,Internet Expense
Network expense paid,79022,Internet Expense,Bank,Internet Expense
Internet bill paid,402475,Internet Expense,Bank,Internet Expense
WiFi subscription payment,348066,Internet Expense,Bank,Internet Expense
Internet bill paid,35387,Internet Expense,Bank,Internet Expense
Internet bill paid,33877,Internet Expense,Bank,Internet Expense
Network expense paid,278747,Internet Expense,Bank,Internet Expense
Network expense paid,386758,Internet Expense,Bank,Internet Expense
Network expense paid,143410,Internet Expense,Bank,Internet Expense
Broadband charges,385662,Internet Expense,Bank,Internet Expense
Broadband charges,440961,Internet Expense,Bank,Internet Expense
WiFi subscription payment,194425,Internet Expense,Bank,Internet Expense
Broadband charges,358292,Internet Expense,Bank,Internet Expense
Internet service charges,415456,Internet Expense,Bank,Internet Expense
WiFi subscription payment,89190,Internet Expense,Bank,Internet Expense
Internet service charges,28900,Internet Expense,Bank,Internet Expense
Network expense paid,267036,Internet Expense,Bank,Internet Expense
Internet bill paid,231731,Internet Expense,Bank,Internet Expense
Broadband charges,320892,Internet Expense,Bank,Internet Expense
Network expense paid,445670,Internet Expense,Bank,Internet Expense
Internet service charges,479715,Internet Expense,Bank,Internet Expense
WiFi subscription payment,440431,Internet Expense,Bank,Internet Expense
Internet service charges,493065,Internet Expense,Bank,Internet Expense
Internet bill paid,1482,Internet Expense,Bank,Internet Expense
Internet service charges,232258,Internet Expense,Bank,Internet Expense
Network expense paid,332894,Internet Expense,Bank,Internet Expense
Broadband charges,415597,Internet Expense,Bank,Internet Expense
Internet bill paid,353911,Internet Expense,Bank,Internet Expense
Broadband charges,378544,Internet Expense,Bank,Internet Expense
Internet service charges,322957,Internet Expense,Bank,Internet Expense
Internet service charges,444758,Internet Expense,Bank,Internet Expense
Internet bill paid,84685,Internet Expense,Bank,Internet Expense
Internet bill paid,355590,Internet Expense,Bank,Internet Expense
Network expense paid,284013,Internet Expense,Bank,Internet Expense
Network expense paid,469911,Internet Expense,Bank,Internet Expense
Internet bill paid,355935,Internet Expense,Bank,Internet Expense
Network expense paid,122836,Internet Expense,Bank,Internet Expense
Network expense paid,137558,Internet Expense,Bank,Internet Expense
WiFi subscription payment,127739,Internet Expense,Bank,Internet Expense
Internet bill paid,190691,Internet Expense,Bank,Internet Expense
WiFi subscription payment,77939,Internet Expense,Bank,Internet Expense
WiFi subscription payment,297896,Internet Expense,Bank,Internet Expense
Network expense paid,206840,Internet Expense,Bank,Internet Expense
Internet bill paid,191019,Internet Expense,Bank,Internet Expense
Internet bill paid,49684,Internet Expense,Bank,Internet Expense
Internet service charges,19917,Internet Expense,Bank,Internet Expense
Internet bill paid,456925,Internet Expense,Bank,Internet Expense
Internet service charges,426963,Internet Expense,Bank,Internet Expense
Network expense paid,361115,Internet Expense,Bank,Internet Expense
Internet service charges,229165,Internet Expense,Bank,Internet Expense
Internet bill paid,19264,Internet Expense,Bank,Internet Expense
WiFi subscription payment,143080,Internet Expense,Bank,Internet Expense
Internet service charges,82739,Internet Expense,Bank,Internet Expense
Internet service charges,22027,Internet Expense,Bank,Internet Expense
Internet bill paid,260802,Internet Expense,Bank,Internet Expense
Internet bill paid,32444,Internet Expense,Bank,Internet Expense
Broadband charges,18486,Internet Expense,Bank,Internet Expense
Broadband charges,142561,Internet Expense,Bank,Internet Expense
WiFi subscription payment,219644,Internet Expense,Bank,Internet Expense
WiFi subscription payment,311140,Internet Expense,Bank,Internet Expense
Broadband charges,235037,Internet Expense,Bank,Internet Expense
Network expense paid,308575,Internet Expense,Bank,Internet Expense
Broadband charges,254266,Internet Expense,Bank,Internet Expense
Broadband charges,279815,Internet Expense,Bank,Internet Expense
Network expense paid,77396,Internet Expense,Bank,Internet Expense
Internet service charges,466614,Internet Expense,Bank,Internet Expense
WiFi subscription payment,370424,Internet Expense,Bank,Internet Expense
WiFi subscription payment,25043,Internet Expense,Bank,Internet Expense
Broadband charges,194894,Internet Expense,Bank,Internet Expense
Internet bill paid,147011,Internet Expense,Bank,Internet Expense
Internet service charges,320384,Internet Expense,Bank,Internet Expense
Internet bill paid,78545,Internet Expense,Bank,Internet Expense
Broadband charges,36036,Internet Expense,Bank,Internet Expense
WiFi subscription payment,418120,Internet Expense,Bank,Internet Expense
Internet bill paid,105786,Internet Expense,Bank,Internet Expense
Broadband charges,256006,Internet Expense,Bank,Internet Expense
Internet service charges,65785,Internet Expense,Bank,Internet Expense
Internet service charges,346585,Internet Expense,Bank,Internet Expense
Network expense paid,447916,Internet Expense,Bank,Internet Expense
Internet service charges,122717,Internet Expense,Bank,Internet Expense
Network expense paid,198555,Internet Expense,Bank,Internet Expense
Internet service charges,307522,Internet Expense,Bank,Internet Expense
Network expense paid,415153,Internet Expense,Bank,Internet Expense
WiFi subscription payment,22573,Internet Expense,Bank,Internet Expense
Network expense paid,30169,Internet Expense,Bank,Internet Expense
Network expense paid,99482,Internet Expense,Bank,Internet Expense
Network expense paid,281934,Internet Expense,Bank,Internet Expense
Internet bill paid,34564,Internet Expense,Bank,Internet Expense
WiFi subscription payment,294225,Internet Expense,Bank,Internet Expense
Broadband charges,428496,Internet Expense,Bank,Internet Expense
Broadband charges,145530,Internet Expense,Bank,Internet Expense
Internet bill paid,174183,Internet Expense,Bank,Internet Expense
WiFi subscription payment,150998,Internet Expense,Bank,Internet Expense
Internet service charges,78173,Internet Expense,Bank,Internet Expense
WiFi subscription payment,99141,Internet Expense,Bank,Internet Expense
Network expense paid,80372,Internet Expense,Bank,Internet Expense
Network expense paid,384797,Internet Expense,Bank,Internet Expense
Broadband charges,124090,Internet Expense,Bank,Internet Expense
Broadband charges,5908,Internet Expense,Bank,Internet Expense
Internet bill paid,464579,Internet Expense,Bank,Internet Expense
Broadband charges,474776,Internet Expense,Bank,Internet Expense
Internet bill paid,431951,Internet Expense,Bank,Internet Expense
Internet bill paid,377208,Internet Expense,Bank,Internet Expense
Broadband charges,223383,Internet Expense,Bank,Internet Expense
WiFi subscription payment,438074,Internet Expense,Bank,Internet Expense
Broadband charges,396604,Internet Expense,Bank,Internet Expense
Internet service charges,392487,Internet Expense,Bank,Internet Expense
WiFi subscription payment,23321,Internet Expense,Bank,Internet Expense
Internet bill paid,92592,Internet Expense,Bank,Internet Expense
Network expense paid,34182,Internet Expense,Bank,Internet Expense
WiFi subscription payment,221984,Internet Expense,Bank,Internet Expense
Network expense paid,370755,Internet Expense,Bank,Internet Expense
Network expense paid,478199,Internet Expense,Bank,Internet Expense
WiFi subscription payment,342017,Internet Expense,Bank,Internet Expense
Internet service charges,49992,Internet Expense,Bank,Internet Expense
Internet bill paid,77673,Internet Expense,Bank,Internet Expense
Broadband charges,437118,Internet Expense,Bank,Internet Expense
WiFi subscription payment,26828,Internet Expense,Bank,Internet Expense
Broadband charges,46809,Internet Expense,Bank,Internet Expense
WiFi subscription payment,141282,Internet Expense,Bank,Internet Expense
Network expense paid,359856,Internet Expense,Bank,Internet Expense
WiFi subscription payment,289595,Internet Expense,Bank,Internet Expense
Network expense paid,235832,Internet Expense,Bank,Internet Expense
Internet bill paid,54440,Internet Expense,Bank,Internet Expense
Internet service charges,278142,Internet Expense,Bank,Internet Expense
Internet service charges,9815,Internet Expense,Bank,Internet Expense
Internet service charges,221893,Internet Expense,Bank,Internet Expense
WiFi subscription payment,45475,Internet Expense,Bank,Internet Expense
Internet bill paid,278985,Internet Expense,Bank,Internet Expense
Internet service charges,468802,Internet Expense,Bank,Internet Expense
Broadband charges,297695,Internet Expense,Bank,Internet Expense
WiFi subscription payment,379857,Internet Expense,Bank,Internet Expense
WiFi subscription payment,377634,Internet Expense,Bank,Internet Expense
Internet bill paid,435086,Internet Expense,Bank,Internet Expense
WiFi subscription payment,498906,Internet Expense,Bank,Internet Expense
Internet bill paid,185552,Internet Expense,Bank,Internet Expense
Internet bill paid,449149,Internet Expense,Bank,Internet Expense
WiFi subscription payment,51264,Internet Expense,Bank,Internet Expense
Broadband charges,164648,Internet Expense,Bank,Internet Expense
Network expense paid,450237,Internet Expense,Bank,Internet Expense
Internet service charges,457413,Internet Expense,Bank,Internet Expense
Internet bill paid,40550,Internet Expense,Bank,Internet Expense
Internet service charges,400762,Internet Expense,Bank,Internet Expense
Broadband charges,265176,Internet Expense,Bank,Internet Expense
Broadband charges,137779,Internet Expense,Bank,Internet Expense
Internet service charges,124093,Internet Expense,Bank,Internet Expense
Network expense paid,118512,Internet Expense,Bank,Internet Expense
Internet bill paid,245451,Internet Expense,Bank,Internet Expense
Internet bill paid,219888,Internet Expense,Bank,Internet Expense
Network expense paid,154532,Internet Expense,Bank,Internet Expense
Internet bill paid,464991,Internet Expense,Bank,Internet Expense
Network expense paid,76388,Internet Expense,Bank,Internet Expense
Network expense paid,269135,Internet Expense,Bank,Internet Expense
Internet bill paid,279326,Internet Expense,Bank,Internet Expense
WiFi subscription payment,498412,Internet Expense,Bank,Internet Expense
Network expense paid,384721,Internet Expense,Bank,Internet Expense
Broadband charges,119187,Internet Expense,Bank,Internet Expense
Network expense paid,94910,Internet Expense,Bank,Internet Expense
Internet bill paid,125584,Internet Expense,Bank,Internet Expense
Network expense paid,442622,Internet Expense,Bank,Internet Expense
Network expense paid,493570,Internet Expense,Bank,Internet Expense
Internet bill paid,311186,Internet Expense,Bank,Internet Expense
WiFi subscription payment,180410,Internet Expense,Bank,Internet Expense
Internet bill paid,336898,Internet Expense,Bank,Internet Expense
Network expense paid,395214,Internet Expense,Bank,Internet Expense
Internet service charges,176337,Internet Expense,Bank,Internet Expense
Internet service charges,127796,Internet Expense,Bank,Internet Expense
Internet bill paid,310820,Internet Expense,Bank,Internet Expense
Broadband charges,109838,Internet Expense,Bank,Internet Expense
WiFi subscription payment,450774,Internet Expense,Bank,Internet Expense
Network expense paid,488747,Internet Expense,Bank,Internet Expense
WiFi subscription payment,445904,Internet Expense,Bank,Internet Expense
Broadband charges,142818,Internet Expense,Bank,Internet Expense
WiFi subscription payment,437449,Internet Expense,Bank,Internet Expense
WiFi subscription payment,238173,Internet Expense,Bank,Internet Expense
WiFi subscription payment,373131,Internet Expense,Bank,Internet Expense
Broadband charges,485460,Internet Expense,Bank,Internet Expense
Network expense paid,167992,Internet Expense,Bank,Internet Expense
WiFi subscription payment,487768,Internet Expense,Bank,Internet Expense
Network expense paid,242385,Internet Expense,Bank,Internet Expense
WiFi subscription payment,64121,Internet Expense,Bank,Internet Expense
Internet bill paid,193514,Internet Expense,Bank,Internet Expense
Internet service charges,417595,Internet Expense,Bank,Internet Expense
Internet service charges,70020,Internet Expense,Bank,Internet Expense
Internet service charges,298351,Internet Expense,Bank,Internet Expense
Internet bill paid,353528,Internet Expense,Bank,Internet Expense
Network expense paid,99270,Internet Expense,Bank,Internet Expense
Network expense paid,461148,Internet Expense,Bank,Internet Expense
WiFi subscription payment,344542,Internet Expense,Bank,Internet Expense
Network expense paid,93707,Internet Expense,Bank,Internet Expense
Internet service charges,108258,Internet Expense,Bank,Internet Expense
Internet service charges,465645,Internet Expense,Bank,Internet Expense
WiFi subscription payment,102611,Internet Expense,Bank,Internet Expense
Internet service charges,256284,Internet Expense,Bank,Internet Expense
WiFi subscription payment,210314,Internet Expense,Bank,Internet Expense
Broadband charges,226428,Internet Expense,Bank,Internet Expense
Internet service charges,146621,Internet Expense,Bank,Internet Expense
Internet bill paid,159721,Internet Expense,Bank,Internet Expense
Internet bill paid,29124,Internet Expense,Bank,Internet Expense
WiFi subscription payment,424161,Internet Expense,Bank,Internet Expense
IT equipment purchased,240322,Computer Asset,Bank,Laptop Purchase
Laptop purchased,170953,Computer Asset,Bank,Laptop Purchase
Laptop purchased,22937,Computer Asset,Bank,Laptop Purchase
Laptop purchased,445829,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,29296,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,97311,Computer Asset,Bank,Laptop Purchase
Laptop purchased,146068,Computer Asset,Bank,Laptop Purchase
Laptop purchased,468826,Computer Asset,Bank,Laptop Purchase
Laptop purchased,382085,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,480138,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,204492,Computer Asset,Bank,Laptop Purchase
Laptop purchased,195679,Computer Asset,Bank,Laptop Purchase
Laptop purchased,29902,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,494453,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,451215,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,100615,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,489373,Computer Asset,Bank,Laptop Purchase
Laptop purchased,224845,Computer Asset,Bank,Laptop Purchase
Laptop purchased,255387,Computer Asset,Bank,Laptop Purchase
New workstation purchased,334191,Computer Asset,Bank,Laptop Purchase
Laptop purchased,179459,Computer Asset,Bank,Laptop Purchase
Laptop purchased,338358,Computer Asset,Bank,Laptop Purchase
Office laptop bought,271025,Computer Asset,Bank,Laptop Purchase
Office laptop bought,393991,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,23339,Computer Asset,Bank,Laptop Purchase
Office laptop bought,132068,Computer Asset,Bank,Laptop Purchase
Laptop purchased,353498,Computer Asset,Bank,Laptop Purchase
New workstation purchased,95395,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,29039,Computer Asset,Bank,Laptop Purchase
Office laptop bought,398830,Computer Asset,Bank,Laptop Purchase
Laptop purchased,326909,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,418011,Computer Asset,Bank,Laptop Purchase
Laptop purchased,170580,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,182911,Computer Asset,Bank,Laptop Purchase
New workstation purchased,483055,Computer Asset,Bank,Laptop Purchase
Laptop purchased,235623,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,470802,Computer Asset,Bank,Laptop Purchase
Office laptop bought,348819,Computer Asset,Bank,Laptop Purchase
Office laptop bought,453180,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,95341,Computer Asset,Bank,Laptop Purchase
New workstation purchased,468563,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,105489,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,231926,Computer Asset,Bank,Laptop Purchase
Laptop purchased,439503,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,339029,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,141547,Computer Asset,Bank,Laptop Purchase
Laptop purchased,57097,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,473461,Computer Asset,Bank,Laptop Purchase
New workstation purchased,101001,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,178463,Computer Asset,Bank,Laptop Purchase
Laptop purchased,405187,Computer Asset,Bank,Laptop Purchase
New workstation purchased,352501,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,456392,Computer Asset,Bank,Laptop Purchase
New workstation purchased,99458,Computer Asset,Bank,Laptop Purchase
Office laptop bought,460021,Computer Asset,Bank,Laptop Purchase
Laptop purchased,491822,Computer Asset,Bank,Laptop Purchase
New workstation purchased,75403,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,377827,Computer Asset,Bank,Laptop Purchase
New workstation purchased,279778,Computer Asset,Bank,Laptop Purchase
Office laptop bought,4670,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,446641,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,248993,Computer Asset,Bank,Laptop Purchase
Office laptop bought,32054,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,319904,Computer Asset,Bank,Laptop Purchase
Laptop purchased,95384,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,487172,Computer Asset,Bank,Laptop Purchase
Laptop purchased,458675,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,38623,Computer Asset,Bank,Laptop Purchase
Laptop purchased,374138,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,300443,Computer Asset,Bank,Laptop Purchase
Office laptop bought,26833,Computer Asset,Bank,Laptop Purchase
New workstation purchased,112231,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,58976,Computer Asset,Bank,Laptop Purchase
New workstation purchased,237138,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,496790,Computer Asset,Bank,Laptop Purchase
Laptop purchased,394254,Computer Asset,Bank,Laptop Purchase
Office laptop bought,410166,Computer Asset,Bank,Laptop Purchase
Laptop purchased,365474,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,153794,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,288355,Computer Asset,Bank,Laptop Purchase
New workstation purchased,218114,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,266348,Computer Asset,Bank,Laptop Purchase
New workstation purchased,46773,Computer Asset,Bank,Laptop Purchase
Laptop purchased,423701,Computer Asset,Bank,Laptop Purchase
New workstation purchased,8971,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,269177,Computer Asset,Bank,Laptop Purchase
Office laptop bought,439774,Computer Asset,Bank,Laptop Purchase
New workstation purchased,439318,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,266672,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,47794,Computer Asset,Bank,Laptop Purchase
New workstation purchased,320019,Computer Asset,Bank,Laptop Purchase
Office laptop bought,406330,Computer Asset,Bank,Laptop Purchase
New workstation purchased,233677,Computer Asset,Bank,Laptop Purchase
Office laptop bought,75464,Computer Asset,Bank,Laptop Purchase
New workstation purchased,155945,Computer Asset,Bank,Laptop Purchase
New workstation purchased,197682,Computer Asset,Bank,Laptop Purchase
Office laptop bought,72983,Computer Asset,Bank,Laptop Purchase
Laptop purchased,273000,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,109479,Computer Asset,Bank,Laptop Purchase
Laptop purchased,127914,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,64312,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,380913,Computer Asset,Bank,Laptop Purchase
New workstation purchased,8436,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,109499,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,64188,Computer Asset,Bank,Laptop Purchase
New workstation purchased,190317,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,253939,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,274174,Computer Asset,Bank,Laptop Purchase
Office laptop bought,150756,Computer Asset,Bank,Laptop Purchase
Laptop purchased,349427,Computer Asset,Bank,Laptop Purchase
Laptop purchased,374980,Computer Asset,Bank,Laptop Purchase
Office laptop bought,104773,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,54898,Computer Asset,Bank,Laptop Purchase
Laptop purchased,321481,Computer Asset,Bank,Laptop Purchase
Office laptop bought,487578,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,332308,Computer Asset,Bank,Laptop Purchase
Office laptop bought,129194,Computer Asset,Bank,Laptop Purchase
Office laptop bought,387100,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,131838,Computer Asset,Bank,Laptop Purchase
New workstation purchased,384101,Computer Asset,Bank,Laptop Purchase
Computer equipment acquired,296978,Computer Asset,Bank,Laptop Purchase
New workstation purchased,5623,Computer Asset,Bank,Laptop Purchase
Laptop purchased,353463,Computer Asset,Bank,Laptop Purchase
Office laptop bought,137302,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,427910,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,112495,Computer Asset,Bank,Laptop Purchase
Office laptop bought,483986,Computer Asset,Bank,Laptop Purchase
Office laptop bought,367162,Computer Asset,Bank,Laptop Purchase
IT equipment purchased,430877,Computer Asset,Bank,Laptop Purchase
