Invoice_Text,Category
Advocate service payment Rs 243783,Reverse Charge
Consumer electronics invoice Rs 319247,B2C
Mobile phone sale bill Rs 13248,B2C
IT support service to Japan Rs 403797,Export
Advocate service payment Rs 319177,Reverse Charge
GST deposited through bank Rs 251477,GST Payment
Credit note issued against damaged goods Rs 48424,Credit Note
Industrial equipment imported from South Korea Rs 233825,Import
GST invoice raised on Deloitte Rs 437549,B2B
Input GST refund Rs 185085,GST Refund
Hospital treatment charges Rs 471434,Exempt Supply
Wholesale supply to XYZ Industries Rs 419582,B2B
Retail customer purchase bill Rs 385046,B2C
Supplier debit adjustment Rs 83927,Debit Note
Monthly GST tax payment Rs 288810,GST Payment
Raw material imported from UK Rs 315977,Import
GST deposited through bank Rs 110868,GST Payment
School tuition fees Rs 62461,Exempt Supply
Hardware purchase from Japan Rs 483777,Import
GST payment challan Rs 19424,GST Payment
GST deposited through bank Rs 305745,GST Payment
GST payment for current month Rs 222012,GST Payment
Agricultural produce sale Rs 10244,Exempt Supply
Industrial equipment imported from Japan Rs 422959,Import
Hardware purchase from China Rs 231598,Import
Export of garments to Singapore Rs 459172,Export
Advocate service payment Rs 114224,Reverse Charge
Educational service invoice Rs 283512,Exempt Supply
School tuition fees Rs 172363,Exempt Supply
Reverse charge professional service Rs 198960,Reverse Charge
Monthly GST tax payment Rs 461880,GST Payment
Industrial equipment imported from Singapore Rs 370410,Import
Credit note issued against damaged goods Rs 386500,Credit Note
Refund received under GST Rs 102791,GST Refund
Reverse charge professional service Rs 237873,Reverse Charge
Credit note issued against damaged goods Rs 395439,Credit Note
Industrial equipment imported from South Korea Rs 180475,Import
Retail customer purchase bill Rs 391765,B2C
Export GST refund Rs 38743,GST Refund
Raw material imported from South Korea Rs 223173,Import
Debit note raised for additional tax Rs 17173,Debit Note
Mobile phone sale bill Rs 452420,B2C
GST payment for current month Rs 198870,GST Payment
GST refund from department Rs 497518,GST Refund
Wholesale supply to Tata Steel Rs 29794,B2B
Hardware purchase from Canada Rs 226963,Import
Export software service to Australia Rs 275364,Export
Advocate service payment Rs 8420,Reverse Charge
Hospital treatment charges Rs 159759,Exempt Supply
Legal service under reverse charge Rs 96729,Reverse Charge
Agricultural produce sale Rs 46013,Exempt Supply
GST refund received Rs 330983,GST Refund
Credit adjustment invoice Rs 256713,Credit Note
GST payment for current month Rs 169775,GST Payment
Credit note issued against damaged goods Rs 418614,Credit Note
Invoice to XYZ Industries Rs 196893,B2B
GST deposited through bank Rs 430522,GST Payment
Legal service under reverse charge Rs 129469,Reverse Charge
Reverse charge professional service Rs 486461,Reverse Charge
Consulting invoice to South Korea Rs 386113,Export
GST refund received Rs 354738,GST Refund
Raw material imported from USA Rs 24115,Import
Hospital treatment charges Rs 121986,Exempt Supply
Credit note issued against damaged goods Rs 10803,Credit Note
Monthly GST tax payment Rs 239162,GST Payment
Walk-in customer invoice Rs 69043,B2C
Industrial equipment imported from Germany Rs 160711,Import
GST refund received Rs 192865,GST Refund
Industrial equipment imported from France Rs 359108,Import
Consulting invoice to Germany Rs 33656,Export
Credit adjustment invoice Rs 459049,Credit Note
GST payment for current month Rs 128375,GST Payment
Retail customer purchase bill Rs 443701,B2C
Supplier debit adjustment Rs 458808,Debit Note
Export software service to Australia Rs 383400,Export
Export software service to France Rs 39621,Export
Corporate software license for Deloitte Rs 367029,B2B
Export of garments to South Korea Rs 290540,Export
Debit note against shortage Rs 163981,Debit Note
GST deposited through bank Rs 169493,GST Payment
Export of garments to Singapore Rs 104105,Export
GST refund from department Rs 446327,GST Refund
School tuition fees Rs 272947,Exempt Supply
Healthcare exempt supply Rs 485954,Exempt Supply
Refund received under GST Rs 60440,GST Refund
Export of garments to USA Rs 145157,Export
Monthly GST tax payment Rs 220788,GST Payment
Wholesale supply to ABC Pvt Ltd Rs 116567,B2B
Input GST refund Rs 488514,GST Refund
GST refund from department Rs 489444,GST Refund
Debit note for freight charges Rs 223132,Debit Note
GST refund received Rs 162817,GST Refund
Import electronics from UK Rs 44707,Import
Export software service to Canada Rs 437988,Export
Import electronics from Australia Rs 33603,Import
Input GST refund Rs 164635,GST Refund
GST liability payment Rs 381639,GST Payment
GST liability payment Rs 313168,GST Payment
Import electronics from South Korea Rs 461445,Import
Invoice to Wipro Rs 346622,B2B
Credit note for cancelled order Rs 328385,Credit Note
Invoice to Wipro Rs 150543,B2B
Import machinery from Singapore Rs 492043,Import
Legal service under reverse charge Rs 430690,Reverse Charge
Debit note against shortage Rs 81740,Debit Note
Supply of goods to Google Rs 61046,B2B
Input GST refund Rs 72715,GST Refund
Mobile phone sale bill Rs 461069,B2C
Wholesale supply to Google Rs 290617,B2B
Educational service invoice Rs 156952,Exempt Supply
Invoice to HCL Rs 252234,B2B
Hospital treatment charges Rs 287062,Exempt Supply
Raw material imported from USA Rs 338669,Import
Credit note for cancelled order Rs 11965,Credit Note
GTA transport service Rs 133812,Reverse Charge
GST liability payment Rs 453112,GST Payment
Credit adjustment invoice Rs 465729,Credit Note
Reverse charge professional service Rs 438925,Reverse Charge
Reverse charge professional service Rs 190145,Reverse Charge
Hospital treatment charges Rs 413377,Exempt Supply
GST deposited through bank Rs 103252,GST Payment
Corporate software license for Google Rs 132127,B2B
Consumer electronics invoice Rs 488959,B2C
Hardware purchase from South Korea Rs 295418,Import
Reverse charge professional service Rs 432605,Reverse Charge
GTA transport service Rs 456248,Reverse Charge
Credit adjustment invoice Rs 481559,Credit Note
Reverse charge professional service Rs 477347,Reverse Charge
Mobile phone sale bill Rs 99063,B2C
Debit note for freight charges Rs 120500,Debit Note
Debit note for freight charges Rs 429846,Debit Note
Hardware purchase from Singapore Rs 288412,Import
Export software service to France Rs 119611,Export
Export software service to China Rs 312669,Export
Import electronics from Australia Rs 258854,Import
GST payment challan Rs 280275,GST Payment
Raw material imported from USA Rs 338631,Import
Agricultural produce sale Rs 282913,Exempt Supply
Corporate software license for Accenture Rs 66670,B2B
Sales return credit note Rs 409165,Credit Note
GST deposited through bank Rs 296156,GST Payment
Debit note for freight charges Rs 149274,Debit Note
Credit note for cancelled order Rs 330242,Credit Note
GST payment for current month Rs 487584,GST Payment
GST liability payment Rs 330698,GST Payment
Debit note against shortage Rs 165468,Debit Note
Export GST refund Rs 434319,GST Refund
Debit note for freight charges Rs 219699,Debit Note
International client invoice Singapore Rs 339743,Export
Export software service to Australia Rs 263500,Export
Raw material imported from Japan Rs 85956,Import
School tuition fees Rs 434683,Exempt Supply
GST refund received Rs 34898,GST Refund
Supply of goods to Tech Mahindra Rs 50832,B2B
Supplier debit adjustment Rs 217497,Debit Note
Hardware purchase from Japan Rs 103810,Import
Walk-in customer invoice Rs 375924,B2C
Retail customer purchase bill Rs 415123,B2C
Industrial equipment imported from France Rs 36481,Import
Legal service under reverse charge Rs 452735,Reverse Charge
Consulting invoice to Germany Rs 96135,Export
Legal service under reverse charge Rs 2819,Reverse Charge
Director remuneration Rs 167688,Reverse Charge
Reverse charge professional service Rs 361011,Reverse Charge
Healthcare exempt supply Rs 329007,Exempt Supply
Wholesale supply to Flipkart Rs 75475,B2B
Credit note for cancelled order Rs 342690,Credit Note
Debit note for freight charges Rs 79960,Debit Note
Credit note issued against damaged goods Rs 196259,Credit Note
Cash sale invoice Rs 404366,B2C
Import electronics from USA Rs 51358,Import
Debit note for transport expenses Rs 303241,Debit Note
Educational service invoice Rs 460507,Exempt Supply
GST refund from department Rs 109883,GST Refund
Import electronics from China Rs 196464,Import
Director remuneration Rs 124817,Reverse Charge
GTA transport service Rs 151828,Reverse Charge
Mobile phone sale bill Rs 317107,B2C
Cash sale invoice Rs 226268,B2C
GST refund from department Rs 6407,GST Refund
Invoice to Tata Steel Rs 309735,B2B
Debit note for transport expenses Rs 448412,Debit Note
International client invoice Canada Rs 223701,Export
Cash sale invoice Rs 81553,B2C
IT support service to Australia Rs 460099,Export
Monthly GST tax payment Rs 319551,GST Payment
Export GST refund Rs 134014,GST Refund
Debit note for freight charges Rs 130477,Debit Note
Consumer electronics invoice Rs 196135,B2C
GST payment challan Rs 149753,GST Payment
Debit note for freight charges Rs 216014,Debit Note
Invoice to Amazon Rs 248807,B2B
Walk-in customer invoice Rs 199293,B2C
Credit adjustment invoice Rs 310671,Credit Note
Director remuneration Rs 25502,Reverse Charge
Wholesale supply to Wipro Rs 306026,B2B
Corporate software license for Amazon Rs 87709,B2B
Walk-in customer invoice Rs 291289,B2C
Sales return credit note Rs 104653,Credit Note
Credit adjustment invoice Rs 386211,Credit Note
Debit note for transport expenses Rs 376231,Debit Note
Cash sale invoice Rs 207120,B2C
Credit note for cancelled order Rs 353355,Credit Note
Hardware purchase from Canada Rs 10871,Import
GST payment for current month Rs 392391,GST Payment
Export of garments to France Rs 38770,Export
GTA transport service Rs 408122,Reverse Charge
GST deposited through bank Rs 225877,GST Payment
Export GST refund Rs 63418,GST Refund
Import machinery from Germany Rs 224683,Import
Import machinery from France Rs 97849,Import
GST payment challan Rs 273551,GST Payment
Walk-in customer invoice Rs 300609,B2C
Export GST refund Rs 31193,GST Refund
Legal service under reverse charge Rs 313322,Reverse Charge
Credit adjustment invoice Rs 327960,Credit Note
International client invoice France Rs 233836,Export
Debit note raised for additional tax Rs 11959,Debit Note
Hardware purchase from USA Rs 341381,Import
Agricultural produce sale Rs 17974,Exempt Supply
Monthly GST tax payment Rs 238886,GST Payment
Hardware purchase from USA Rs 205337,Import
Director remuneration Rs 131778,Reverse Charge
Customer return credit note Rs 20241,Credit Note
Advocate service payment Rs 492013,Reverse Charge
Export of garments to China Rs 277023,Export
Export of garments to China Rs 114148,Export
Wholesale supply to Deloitte Rs 2539,B2B
Export of garments to Germany Rs 318058,Export
GST payment challan Rs 490090,GST Payment
Healthcare exempt supply Rs 306624,Exempt Supply
Refund received under GST Rs 312867,GST Refund
Debit note for transport expenses Rs 263463,Debit Note
Industrial equipment imported from Germany Rs 258080,Import
Export software service to USA Rs 374493,Export
Mobile phone sale bill Rs 441742,B2C
Export software service to Australia Rs 213226,Export
Debit note against shortage Rs 490300,Debit Note
Consulting invoice to France Rs 281804,Export
Corporate software license for Microsoft Rs 259079,B2B
Consumer electronics invoice Rs 465101,B2C
Mobile phone sale bill Rs 207294,B2C
Refund received under GST Rs 103486,GST Refund
Export software service to Japan Rs 165718,Export
Industrial equipment imported from UK Rs 75608,Import
Educational service invoice Rs 352750,Exempt Supply
Healthcare exempt supply Rs 128136,Exempt Supply
Educational service invoice Rs 283498,Exempt Supply
Advocate service payment Rs 334329,Reverse Charge
Import electronics from UK Rs 359728,Import
Monthly GST tax payment Rs 491994,GST Payment
Debit note raised for additional tax Rs 275305,Debit Note
Import machinery from UK Rs 351648,Import
Director remuneration Rs 338059,Reverse Charge
Consulting invoice to USA Rs 397622,Export
Import electronics from France Rs 271244,Import
Healthcare exempt supply Rs 429729,Exempt Supply
Import machinery from Singapore Rs 230731,Import
Import machinery from Australia Rs 27860,Import
Export software service to France Rs 360389,Export
Walk-in customer invoice Rs 83339,B2C
Debit note raised for additional tax Rs 435974,Debit Note
Consumer electronics invoice Rs 183728,B2C
Healthcare exempt supply Rs 103469,Exempt Supply
Educational service invoice Rs 104764,Exempt Supply
Raw material imported from Australia Rs 244536,Import
Hospital treatment charges Rs 359908,Exempt Supply
Industrial equipment imported from South Korea Rs 140341,Import
Credit adjustment invoice Rs 281726,Credit Note
Credit adjustment invoice Rs 191697,Credit Note
Healthcare exempt supply Rs 39644,Exempt Supply
Import electronics from China Rs 191505,Import
Invoice to Microsoft Rs 4169,B2B
Import machinery from Singapore Rs 343707,Import
GTA transport service Rs 56965,Reverse Charge
Export software service to Singapore Rs 472992,Export
Legal service under reverse charge Rs 19149,Reverse Charge
Supply of goods to Deloitte Rs 326617,B2B
Export GST refund Rs 199107,GST Refund
Refund received under GST Rs 125941,GST Refund
Consumer electronics invoice Rs 421497,B2C
Supplier debit adjustment Rs 281262,Debit Note
Customer return credit note Rs 49285,Credit Note
Credit adjustment invoice Rs 235846,Credit Note
Consulting invoice to China Rs 466673,Export
Raw material imported from USA Rs 12672,Import
GST liability payment Rs 62819,GST Payment
Credit note for cancelled order Rs 18029,Credit Note
Cash sale invoice Rs 225137,B2C
Refund received under GST Rs 414104,GST Refund
Input GST refund Rs 271100,GST Refund
Walk-in customer invoice Rs 449408,B2C
Sales return credit note Rs 245212,Credit Note
Advocate service payment Rs 489470,Reverse Charge
Consulting invoice to China Rs 210319,Export
Retail customer purchase bill Rs 373620,B2C
GST payment challan Rs 354682,GST Payment
Import electronics from Canada Rs 361224,Import
Debit note for freight charges Rs 138728,Debit Note
Walk-in customer invoice Rs 324338,B2C
GST liability payment Rs 196397,GST Payment
Industrial equipment imported from Australia Rs 73393,Import
Corporate software license for ABC Pvt Ltd Rs 103574,B2B
Invoice to Wipro Rs 332628,B2B
International client invoice China Rs 37155,Export
Credit adjustment invoice Rs 479851,Credit Note
Import electronics from Canada Rs 58988,Import
IT support service to Australia Rs 321782,Export
Consumer electronics invoice Rs 140636,B2C
Advocate service payment Rs 12824,Reverse Charge
Raw material imported from France Rs 150346,Import
Corporate software license for XYZ Industries Rs 195019,B2B
Educational service invoice Rs 2982,Exempt Supply
Customer return credit note Rs 89234,Credit Note
Input GST refund Rs 222739,GST Refund
Debit note for transport expenses Rs 246977,Debit Note
GST deposited through bank Rs 375329,GST Payment
Export software service to Germany Rs 143756,Export
Supply of goods to Amazon Rs 98545,B2B
Import machinery from Singapore Rs 42413,Import
Import machinery from Japan Rs 453493,Import
Educational service invoice Rs 157074,Exempt Supply
Import machinery from South Korea Rs 464835,Import
Director remuneration Rs 304801,Reverse Charge
Corporate software license for HCL Rs 406582,B2B
GST payment for current month Rs 339115,GST Payment
Healthcare exempt supply Rs 182030,Exempt Supply
Reverse charge professional service Rs 447808,Reverse Charge
Sales return credit note Rs 329566,Credit Note
Debit note for transport expenses Rs 161890,Debit Note
Credit adjustment invoice Rs 298236,Credit Note
Export software service to South Korea Rs 294471,Export
Export of garments to Japan Rs 260772,Export
Mobile phone sale bill Rs 191226,B2C
Consulting invoice to Japan Rs 471909,Export
Import electronics from France Rs 49153,Import
Legal service under reverse charge Rs 101574,Reverse Charge
Supply of goods to TCS Rs 77916,B2B
Mobile phone sale bill Rs 396551,B2C
Educational service invoice Rs 28719,Exempt Supply
Educational service invoice Rs 395731,Exempt Supply
GST refund from department Rs 381178,GST Refund
Consulting invoice to Australia Rs 141063,Export
Credit note issued against damaged goods Rs 470785,Credit Note
Invoice to Google Rs 305693,B2B
Credit note for cancelled order Rs 159613,Credit Note
Walk-in customer invoice Rs 322591,B2C
Legal service under reverse charge Rs 388851,Reverse Charge
GTA transport service Rs 461550,Reverse Charge
Educational service invoice Rs 214252,Exempt Supply
Director remuneration Rs 78584,Reverse Charge
Credit note issued against damaged goods Rs 167820,Credit Note
Agricultural produce sale Rs 403673,Exempt Supply
International client invoice South Korea Rs 96547,Export
Mobile phone sale bill Rs 311544,B2C
GST refund received Rs 140020,GST Refund
GST payment challan Rs 430536,GST Payment
Debit note for transport expenses Rs 337416,Debit Note
Walk-in customer invoice Rs 121813,B2C
GST liability payment Rs 444426,GST Payment
Invoice to Tech Mahindra Rs 8634,B2B
Industrial equipment imported from USA Rs 140756,Import
Debit note for freight charges Rs 406904,Debit Note
Wholesale supply to Tata Steel Rs 325097,B2B
Input GST refund Rs 279551,GST Refund
Import electronics from USA Rs 64017,Import
Hardware purchase from France Rs 483724,Import
Credit adjustment invoice Rs 430161,Credit Note
Hardware purchase from Japan Rs 432522,Import
Industrial equipment imported from Australia Rs 349877,Import
Sales return credit note Rs 233552,Credit Note
GTA transport service Rs 5053,Reverse Charge
Export of garments to Singapore Rs 108908,Export
Sales return credit note Rs 442754,Credit Note
Invoice to XYZ Industries Rs 276883,B2B
Credit note issued against damaged goods Rs 90420,Credit Note
Raw material imported from Australia Rs 60876,Import
Agricultural produce sale Rs 454887,Exempt Supply
Export of garments to France Rs 301166,Export
Import machinery from South Korea Rs 333838,Import
Monthly GST tax payment Rs 358887,GST Payment
Supply of goods to TCS Rs 376791,B2B
Legal service under reverse charge Rs 154235,Reverse Charge
Export of garments to China Rs 440858,Export
Hardware purchase from Australia Rs 454071,Import
Walk-in customer invoice Rs 485884,B2C
International client invoice South Korea Rs 79385,Export
Credit adjustment invoice Rs 485479,Credit Note
Supplier debit adjustment Rs 307401,Debit Note
Debit note raised for additional tax Rs 8450,Debit Note
Sales return credit note Rs 158900,Credit Note
Corporate software license for Tata Steel Rs 335205,B2B
Agricultural produce sale Rs 71075,Exempt Supply
Hardware purchase from Japan Rs 381511,Import
IT support service to USA Rs 346335,Export
Legal service under reverse charge Rs 196226,Reverse Charge
Walk-in customer invoice Rs 132874,B2C
Supplier debit adjustment Rs 259364,Debit Note
Industrial equipment imported from Canada Rs 157738,Import
Raw material imported from Canada Rs 269692,Import
GST refund received Rs 172367,GST Refund
Consulting invoice to USA Rs 328636,Export
Credit adjustment invoice Rs 7188,Credit Note
Raw material imported from Canada Rs 229847,Import
Credit note for cancelled order Rs 348701,Credit Note
Refund received under GST Rs 440219,GST Refund
Export of garments to USA Rs 217044,Export
GST payment challan Rs 11727,GST Payment
Corporate software license for Accenture Rs 412699,B2B
GST liability payment Rs 277512,GST Payment
Wholesale supply to Tech Mahindra Rs 164862,B2B
IT support service to Japan Rs 182266,Export
Import electronics from Germany Rs 303300,Import
International client invoice France Rs 118599,Export
GST payment for current month Rs 421467,GST Payment
Supply of goods to Wipro Rs 59655,B2B
Export software service to Singapore Rs 194925,Export
Cash sale invoice Rs 75328,B2C
Debit note raised for additional tax Rs 295773,Debit Note
Import machinery from Germany Rs 47045,Import
Credit note issued against damaged goods Rs 275939,Credit Note
Refund received under GST Rs 417340,GST Refund
Wholesale supply to XYZ Industries Rs 324405,B2B
GTA transport service Rs 252661,Reverse Charge
Walk-in customer invoice Rs 334889,B2C
Export GST refund Rs 85120,GST Refund
Monthly GST tax payment Rs 491971,GST Payment
Customer return credit note Rs 326183,Credit Note
Hospital treatment charges Rs 426868,Exempt Supply
Legal service under reverse charge Rs 159947,Reverse Charge
Wholesale supply to Flipkart Rs 143462,B2B
Industrial equipment imported from Japan Rs 40997,Import
Credit note for cancelled order Rs 68310,Credit Note
Debit note raised for additional tax Rs 345720,Debit Note
Credit note issued against damaged goods Rs 34997,Credit Note
Credit adjustment invoice Rs 195650,Credit Note
GST liability payment Rs 121565,GST Payment
Advocate service payment Rs 196239,Reverse Charge
Sales return credit note Rs 447195,Credit Note
Consumer electronics invoice Rs 84174,B2C
School tuition fees Rs 403436,Exempt Supply
GST invoice raised on ABC Pvt Ltd Rs 411328,B2B
Debit note for transport expenses Rs 413341,Debit Note
Debit note for freight charges Rs 134121,Debit Note
Export GST refund Rs 15759,GST Refund
Director remuneration Rs 61701,Reverse Charge
Export software service to Japan Rs 365485,Export
Credit note issued against damaged goods Rs 376762,Credit Note
Industrial equipment imported from France Rs 26182,Import
GTA transport service Rs 81485,Reverse Charge
Director remuneration Rs 318091,Reverse Charge
Director remuneration Rs 442627,Reverse Charge
Reverse charge professional service Rs 290247,Reverse Charge
GST deposited through bank Rs 346471,GST Payment
Export software service to Singapore Rs 306472,Export
Corporate software license for Accenture Rs 80218,B2B
GTA transport service Rs 84008,Reverse Charge
GST payment for current month Rs 388189,GST Payment
Debit note raised for additional tax Rs 165896,Debit Note
GST payment for current month Rs 71490,GST Payment
Debit note raised for additional tax Rs 101435,Debit Note
Legal service under reverse charge Rs 310758,Reverse Charge
Debit note against shortage Rs 290060,Debit Note
Legal service under reverse charge Rs 461866,Reverse Charge
Director remuneration Rs 179038,Reverse Charge
Credit adjustment invoice Rs 74761,Credit Note
IT support service to Japan Rs 457103,Export
Credit note issued against damaged goods Rs 422482,Credit Note
Healthcare exempt supply Rs 121919,Exempt Supply
GTA transport service Rs 80649,Reverse Charge
GST payment challan Rs 157568,GST Payment
Reverse charge professional service Rs 393965,Reverse Charge
Retail customer purchase bill Rs 478719,B2C
Input GST refund Rs 66198,GST Refund
Debit note against shortage Rs 83383,Debit Note
Monthly GST tax payment Rs 199193,GST Payment
Director remuneration Rs 426398,Reverse Charge
GST payment challan Rs 68529,GST Payment
International client invoice Australia Rs 130757,Export
Mobile phone sale bill Rs 187561,B2C
Credit note for cancelled order Rs 118446,Credit Note
IT support service to Canada Rs 332802,Export
Credit note for cancelled order Rs 325325,Credit Note
Debit note for transport expenses Rs 156088,Debit Note
Credit note for cancelled order Rs 111400,Credit Note
Raw material imported from Germany Rs 329532,Import
Industrial equipment imported from Japan Rs 366997,Import
Corporate software license for Accenture Rs 412606,B2B
Export of garments to Germany Rs 30992,Export
GST payment challan Rs 233092,GST Payment
Corporate software license for Infosys Rs 319397,B2B
Sales return credit note Rs 404447,Credit Note
Export of garments to South Korea Rs 325839,Export
Supply of goods to Accenture Rs 36433,B2B
Debit note raised for additional tax Rs 250914,Debit Note
Debit note raised for additional tax Rs 405088,Debit Note
Debit note for transport expenses Rs 209194,Debit Note
GST liability payment Rs 383944,GST Payment
Monthly GST tax payment Rs 2764,GST Payment
Debit note against shortage Rs 149749,Debit Note
Debit note raised for additional tax Rs 88450,Debit Note
Sales return credit note Rs 169242,Credit Note
Healthcare exempt supply Rs 209372,Exempt Supply
GST deposited through bank Rs 453154,GST Payment
Consulting invoice to USA Rs 471251,Export
GST invoice raised on Amazon Rs 395430,B2B
Debit note for transport expenses Rs 137910,Debit Note
Wholesale supply to Google Rs 26061,B2B
Walk-in customer invoice Rs 140760,B2C
Credit note for cancelled order Rs 231744,Credit Note
Agricultural produce sale Rs 12923,Exempt Supply
Credit adjustment invoice Rs 115690,Credit Note
Walk-in customer invoice Rs 110986,B2C
Monthly GST tax payment Rs 260880,GST Payment
Consumer electronics invoice Rs 478631,B2C
Credit adjustment invoice Rs 275408,Credit Note
Refund received under GST Rs 306678,GST Refund
Import electronics from France Rs 294287,Import
Supplier debit adjustment Rs 241565,Debit Note
Hardware purchase from Canada Rs 459397,Import
Consumer electronics invoice Rs 263192,B2C
Invoice to Reliance Rs 48581,B2B
GST invoice raised on Tech Mahindra Rs 419483,B2B
GST invoice raised on Microsoft Rs 217307,B2B
Industrial equipment imported from China Rs 300371,Import
IT support service to Canada Rs 310536,Export
Invoice to Flipkart Rs 273942,B2B
Cash sale invoice Rs 479531,B2C
GTA transport service Rs 406660,Reverse Charge
Agricultural produce sale Rs 362097,Exempt Supply
Cash sale invoice Rs 382446,B2C
Industrial equipment imported from China Rs 403131,Import
Import electronics from Germany Rs 57067,Import
Debit note for freight charges Rs 436082,Debit Note
Credit adjustment invoice Rs 20768,Credit Note
Sales return credit note Rs 202694,Credit Note
Walk-in customer invoice Rs 212296,B2C
Export GST refund Rs 37833,GST Refund
GST refund from department Rs 210140,GST Refund
Consulting invoice to Japan Rs 24617,Export
Export GST refund Rs 240795,GST Refund
GST refund from department Rs 72478,GST Refund
GTA transport service Rs 175494,Reverse Charge
Supplier debit adjustment Rs 277467,Debit Note
Import electronics from Singapore Rs 36877,Import
International client invoice Japan Rs 22997,Export
Debit note against shortage Rs 15011,Debit Note
Credit note issued against damaged goods Rs 388055,Credit Note
Healthcare exempt supply Rs 442230,Exempt Supply
GST deposited through bank Rs 292255,GST Payment
Corporate software license for Wipro Rs 152346,B2B
Healthcare exempt supply Rs 62276,Exempt Supply
Debit note for freight charges Rs 19967,Debit Note
Agricultural produce sale Rs 189444,Exempt Supply
GST invoice raised on Microsoft Rs 11414,B2B
GST invoice raised on Flipkart Rs 306259,B2B
Mobile phone sale bill Rs 366963,B2C
GST invoice raised on Amazon Rs 479390,B2B
Healthcare exempt supply Rs 57509,Exempt Supply
Mobile phone sale bill Rs 385871,B2C
Credit note for cancelled order Rs 54357,Credit Note
Credit adjustment invoice Rs 352665,Credit Note
GST liability payment Rs 218386,GST Payment
Refund received under GST Rs 351080,GST Refund
Legal service under reverse charge Rs 467624,Reverse Charge
Hardware purchase from Australia Rs 217158,Import
Industrial equipment imported from USA Rs 134230,Import
Supply of goods to Tech Mahindra Rs 320507,B2B
Import electronics from China Rs 100828,Import
Credit note issued against damaged goods Rs 14964,Credit Note
GST refund from department Rs 88390,GST Refund
Retail customer purchase bill Rs 133339,B2C
GST invoice raised on Wipro Rs 151234,B2B
Debit note for freight charges Rs 189847,Debit Note
Hardware purchase from UK Rs 139057,Import
Export of garments to Singapore Rs 12431,Export
GST deposited through bank Rs 232989,GST Payment
GST payment challan Rs 75664,GST Payment
Director remuneration Rs 122610,Reverse Charge
Consulting invoice to USA Rs 254473,Export
GST liability payment Rs 214828,GST Payment
GST payment challan Rs 84535,GST Payment
GST liability payment Rs 382646,GST Payment
Sales return credit note Rs 407557,Credit Note
Wholesale supply to Deloitte Rs 307324,B2B
Credit adjustment invoice Rs 182063,Credit Note
GTA transport service Rs 179330,Reverse Charge
Consumer electronics invoice Rs 386403,B2C
Legal service under reverse charge Rs 489871,Reverse Charge
Credit note for cancelled order Rs 425692,Credit Note
School tuition fees Rs 210552,Exempt Supply
International client invoice Australia Rs 93912,Export
Monthly GST tax payment Rs 339182,GST Payment
Credit adjustment invoice Rs 154333,Credit Note
Import electronics from USA Rs 377267,Import
Export software service to Germany Rs 392501,Export
Legal service under reverse charge Rs 121856,Reverse Charge
Supplier debit adjustment Rs 456970,Debit Note
Advocate service payment Rs 40540,Reverse Charge
Debit note for freight charges Rs 458351,Debit Note
GST refund received Rs 88607,GST Refund
Invoice to Accenture Rs 103993,B2B
GST refund from department Rs 240117,GST Refund
GST refund from department Rs 459268,GST Refund
Credit note for cancelled order Rs 40687,Credit Note
Monthly GST tax payment Rs 435247,GST Payment
GST payment for current month Rs 393506,GST Payment
Export of garments to USA Rs 27125,Export
Industrial equipment imported from UK Rs 8653,Import
IT support service to South Korea Rs 171570,Export
Director remuneration Rs 419948,Reverse Charge
GST deposited through bank Rs 261143,GST Payment
GST refund from department Rs 273219,GST Refund
Export of garments to Australia Rs 127057,Export
Export software service to Germany Rs 132790,Export
GST payment challan Rs 389548,GST Payment
Sales return credit note Rs 308617,Credit Note
Input GST refund Rs 454105,GST Refund
Consulting invoice to Canada Rs 224950,Export
GST refund received Rs 402813,GST Refund
Educational service invoice Rs 231589,Exempt Supply
Supply of goods to Tech Mahindra Rs 254242,B2B
GST payment challan Rs 449750,GST Payment
Invoice to Deloitte Rs 210152,B2B
Consumer electronics invoice Rs 423673,B2C
Hardware purchase from Germany Rs 299056,Import
Supply of goods to Google Rs 231118,B2B
Export of garments to USA Rs 147459,Export
Cash sale invoice Rs 199295,B2C
Industrial equipment imported from Germany Rs 156617,Import
Hospital treatment charges Rs 71473,Exempt Supply
GST payment for current month Rs 54125,GST Payment
Credit note for cancelled order Rs 386797,Credit Note
Agricultural produce sale Rs 393074,Exempt Supply
Legal service under reverse charge Rs 298495,Reverse Charge
Debit note raised for additional tax Rs 38352,Debit Note
Credit note for cancelled order Rs 365925,Credit Note
Reverse charge professional service Rs 136455,Reverse Charge
Import machinery from Japan Rs 120725,Import
GTA transport service Rs 94777,Reverse Charge
Agricultural produce sale Rs 42483,Exempt Supply
Debit note raised for additional tax Rs 266393,Debit Note
Invoice to Tata Steel Rs 223217,B2B
IT support service to UK Rs 464828,Export
School tuition fees Rs 189956,Exempt Supply
IT support service to USA Rs 391518,Export
Credit note issued against damaged goods Rs 467926,Credit Note
Industrial equipment imported from Australia Rs 307132,Import
Debit note for freight charges Rs 16258,Debit Note
GST deposited through bank Rs 90917,GST Payment
Supplier debit adjustment Rs 153556,Debit Note
Legal service under reverse charge Rs 218275,Reverse Charge
Debit note raised for additional tax Rs 230888,Debit Note
Credit adjustment invoice Rs 320781,Credit Note
Export of garments to Australia Rs 215555,Export
Export software service to UK Rs 218704,Export
Supply of goods to Reliance Rs 440389,B2B
