Transaction_Text,Amount,Deductee_Type,TDS_Section,TDS_Rate,TDS_Amount,Net_Payment,Ledger
Brokerage charges paid,442635,Contractor,194H,5%,22131.75,420503.25,Commission Expense
Warehouse rent paid,132117,Contractor,194I,10%,13211.7,118905.3,Rent Expense
Bulk inventory purchase,341535,Company,194Q,0.1%,341.54,341193.46,Purchase Expense
Bank interest paid,313043,Individual,194A,10%,31304.3,281738.7,Interest Expense
Audit fees paid,336433,Individual,194J,10%,33643.3,302789.7,Professional Fees
Interest payment booked,254756,Individual,194A,10%,25475.6,229280.4,Interest Expense
Labour charges paid,97511,Professional,194C,1%,975.11,96535.89,Contractor Expense
Freight charges paid,254370,Contractor,194C,1%,2543.7,251826.3,Contractor Expense
Shop rent transferred,179181,Company,194I,10%,17918.1,161262.9,Rent Expense
Property rent paid,252911,Professional,194I,10%,25291.1,227619.9,Rent Expense
Finance charges paid,395196,Individual,194A,10%,39519.6,355676.4,Interest Expense
Office rent paid,300250,Individual,194I,10%,30025.0,270225.0,Rent Expense
Office rent paid,446337,Company,194I,10%,44633.7,401703.3,Rent Expense
Office rent paid,216813,Firm,194I,10%,21681.3,195131.7,Rent Expense
Raw material purchase made,210994,Company,194Q,0.1%,210.99,210783.01,Purchase Expense
Finance charges paid,53786,Firm,194A,10%,5378.6,48407.4,Interest Expense
Finance charges paid,295917,Firm,194A,10%,29591.7,266325.3,Interest Expense
Raw material purchase made,163475,Company,194Q,0.1%,163.47,163311.53,Purchase Expense
Agent incentive paid,376709,Professional,194H,5%,18835.45,357873.55,Commission Expense
Interest on unsecured loan,360155,Contractor,194A,10%,36015.5,324139.5,Interest Expense
Interest paid on loan,404676,Individual,194A,10%,40467.6,364208.4,Interest Expense
Interest on unsecured loan,444694,Individual,194A,10%,44469.4,400224.6,Interest Expense
Goods purchased from vendor,122528,Individual,194Q,0.1%,122.53,122405.47,Purchase Expense
Warehouse rent paid,330070,Individual,194I,10%,33007.0,297063.0,Rent Expense
Bulk inventory purchase,268611,Individual,194Q,0.1%,268.61,268342.39,Purchase Expense
Purchase of stock items,347067,Contractor,194Q,0.1%,347.07,346719.93,Purchase Expense
Labour charges paid,309920,Contractor,194C,1%,3099.2,306820.8,Contractor Expense
Sales commission payment,201824,Individual,194H,5%,10091.2,191732.8,Commission Expense
Interest payment booked,482434,Company,194A,10%,48243.4,434190.6,Interest Expense
Commission paid to agent,384696,Contractor,194H,5%,19234.8,365461.2,Commission Expense
Office rent paid,215147,Professional,194I,10%,21514.7,193632.3,Rent Expense
Freight charges paid,85026,Company,194C,1%,850.26,84175.74,Contractor Expense
Raw material purchase made,160053,Contractor,194Q,0.1%,160.05,159892.95,Purchase Expense
Labour charges paid,304279,Professional,194C,1%,3042.79,301236.21,Contractor Expense
Interest on unsecured loan,203657,Individual,194A,10%,20365.7,183291.3,Interest Expense
Sales commission payment,182957,Firm,194H,5%,9147.85,173809.15,Commission Expense
Commission paid to agent,23239,Contractor,194H,5%,1161.95,22077.05,Commission Expense
Shop rent transferred,337847,Professional,194I,10%,33784.7,304062.3,Rent Expense
Raw material purchase made,171994,Contractor,194Q,0.1%,171.99,171822.01,Purchase Expense
Freight charges paid,438833,Individual,194C,1%,4388.33,434444.67,Contractor Expense
Doctor consultation fees paid,419400,Company,194J,10%,41940.0,377460.0,Professional Fees
Sales commission payment,382850,Firm,194H,5%,19142.5,363707.5,Commission Expense
Shop rent transferred,209762,Individual,194I,10%,20976.2,188785.8,Rent Expense
Office rent paid,348774,Individual,194I,10%,34877.4,313896.6,Rent Expense
Interest payment booked,385593,Company,194A,10%,38559.3,347033.7,Interest Expense
Agent incentive paid,364978,Professional,194H,5%,18248.9,346729.1,Commission Expense
Audit fees paid,117063,Individual,194J,10%,11706.3,105356.7,Professional Fees
Purchase of stock items,467063,Firm,194Q,0.1%,467.06,466595.94,Purchase Expense
Office rent paid,482530,Individual,194I,10%,48253.0,434277.0,Rent Expense
Contractor payment made,375024,Contractor,194C,1%,3750.24,371273.76,Contractor Expense
Vendor supply payment,149982,Individual,194Q,0.1%,149.98,149832.02,Purchase Expense
Goods purchased from vendor,130939,Individual,194Q,0.1%,130.94,130808.06,Purchase Expense
Purchase of stock items,142940,Professional,194Q,0.1%,142.94,142797.06,Purchase Expense
Transport charges paid,441120,Professional,194C,1%,4411.2,436708.8,Contractor Expense
Interest on unsecured loan,318640,Individual,194A,10%,31864.0,286776.0,Interest Expense
Freight charges paid,493124,Company,194C,1%,4931.24,488192.76,Contractor Expense
CA fees paid,153185,Professional,194J,10%,15318.5,137866.5,Professional Fees
CA fees paid,152107,Contractor,194J,10%,15210.7,136896.3,Professional Fees
Contractor payment made,378296,Firm,194C,1%,3782.96,374513.04,Contractor Expense
Raw material purchase made,67955,Individual,194Q,0.1%,67.95,67887.05,Purchase Expense
Shop rent transferred,426164,Individual,194I,10%,42616.4,383547.6,Rent Expense
Agent incentive paid,285116,Contractor,194H,5%,14255.8,270860.2,Commission Expense
Property rent paid,52943,Firm,194I,10%,5294.3,47648.7,Rent Expense
Agent incentive paid,200205,Company,194H,5%,10010.25,190194.75,Commission Expense
Purchase of stock items,15615,Company,194Q,0.1%,15.62,15599.38,Purchase Expense
Commission paid to agent,164584,Company,194H,5%,8229.2,156354.8,Commission Expense
CA fees paid,20666,Firm,194J,10%,2066.6,18599.4,Professional Fees
Office rent paid,385675,Contractor,194I,10%,38567.5,347107.5,Rent Expense
Brokerage charges paid,179705,Firm,194H,5%,8985.25,170719.75,Commission Expense
Audit fees paid,294718,Individual,194J,10%,29471.8,265246.2,Professional Fees
Freight charges paid,280310,Individual,194C,1%,2803.1,277506.9,Contractor Expense
Vendor supply payment,216233,Contractor,194Q,0.1%,216.23,216016.77,Purchase Expense
Commission paid to agent,57888,Company,194H,5%,2894.4,54993.6,Commission Expense
Transport charges paid,238916,Company,194C,1%,2389.16,236526.84,Contractor Expense
Vendor supply payment,148802,Contractor,194Q,0.1%,148.8,148653.2,Purchase Expense
Purchase of stock items,309916,Firm,194Q,0.1%,309.92,309606.08,Purchase Expense
Vendor supply payment,37452,Professional,194Q,0.1%,37.45,37414.55,Purchase Expense
Goods purchased from vendor,269515,Company,194Q,0.1%,269.51,269245.49,Purchase Expense
Labour charges paid,365884,Firm,194C,1%,3658.84,362225.16,Contractor Expense
Raw material purchase made,415109,Firm,194Q,0.1%,415.11,414693.89,Purchase Expense
Contractor payment made,220433,Firm,194C,1%,2204.33,218228.67,Contractor Expense
Warehouse rent paid,262987,Professional,194I,10%,26298.7,236688.3,Rent Expense
Raw material purchase made,206700,Contractor,194Q,0.1%,206.7,206493.3,Purchase Expense
Interest on unsecured loan,60192,Professional,194A,10%,6019.2,54172.8,Interest Expense
Purchase of stock items,231975,Contractor,194Q,0.1%,231.97,231743.03,Purchase Expense
Labour charges paid,156585,Firm,194C,1%,1565.85,155019.15,Contractor Expense
Doctor consultation fees paid,112734,Company,194J,10%,11273.4,101460.6,Professional Fees
Goods purchased from vendor,497314,Firm,194Q,0.1%,497.31,496816.69,Purchase Expense
Audit fees paid,373272,Professional,194J,10%,37327.2,335944.8,Professional Fees
Vendor supply payment,88670,Professional,194Q,0.1%,88.67,88581.33,Purchase Expense
Shop rent transferred,491947,Professional,194I,10%,49194.7,442752.3,Rent Expense
Raw material purchase made,115756,Individual,194Q,0.1%,115.76,115640.24,Purchase Expense
Vendor supply payment,39223,Individual,194Q,0.1%,39.22,39183.78,Purchase Expense
Transport charges paid,67000,Contractor,194C,1%,670.0,66330.0,Contractor Expense
Shop rent transferred,466901,Firm,194I,10%,46690.1,420210.9,Rent Expense
Doctor consultation fees paid,267910,Individual,194J,10%,26791.0,241119.0,Professional Fees
Brokerage charges paid,41408,Firm,194H,5%,2070.4,39337.6,Commission Expense
Shop rent transferred,280484,Firm,194I,10%,28048.4,252435.6,Rent Expense
Commission paid to agent,106643,Individual,194H,5%,5332.15,101310.85,Commission Expense
Goods purchased from vendor,466182,Firm,194Q,0.1%,466.18,465715.82,Purchase Expense
Interest payment booked,87360,Individual,194A,10%,8736.0,78624.0,Interest Expense
CA fees paid,250893,Contractor,194J,10%,25089.3,225803.7,Professional Fees
Sales commission payment,386302,Professional,194H,5%,19315.1,366986.9,Commission Expense
Bank interest paid,460412,Contractor,194A,10%,46041.2,414370.8,Interest Expense
Contractor payment made,119604,Firm,194C,1%,1196.04,118407.96,Contractor Expense
Freight charges paid,495579,Professional,194C,1%,4955.79,490623.21,Contractor Expense
Vendor supply payment,46501,Individual,194Q,0.1%,46.5,46454.5,Purchase Expense
Construction work payment,307425,Contractor,194C,1%,3074.25,304350.75,Contractor Expense
Goods purchased from vendor,375679,Firm,194Q,0.1%,375.68,375303.32,Purchase Expense
Property rent paid,108899,Firm,194I,10%,10889.9,98009.1,Rent Expense
Bank interest paid,131248,Firm,194A,10%,13124.8,118123.2,Interest Expense
Interest on unsecured loan,160926,Firm,194A,10%,16092.6,144833.4,Interest Expense
Brokerage charges paid,371692,Individual,194H,5%,18584.6,353107.4,Commission Expense
Interest payment booked,358124,Individual,194A,10%,35812.4,322311.6,Interest Expense
Finance charges paid,187220,Individual,194A,10%,18722.0,168498.0,Interest Expense
Warehouse rent paid,189961,Contractor,194I,10%,18996.1,170964.9,Rent Expense
Building lease payment,450262,Individual,194I,10%,45026.2,405235.8,Rent Expense
Contractor payment made,317400,Individual,194C,1%,3174.0,314226.0,Contractor Expense
Doctor consultation fees paid,415819,Contractor,194J,10%,41581.9,374237.1,Professional Fees
Raw material purchase made,75503,Company,194Q,0.1%,75.5,75427.5,Purchase Expense
Contractor payment made,414357,Professional,194C,1%,4143.57,410213.43,Contractor Expense
Goods purchased from vendor,166756,Contractor,194Q,0.1%,166.76,166589.24,Purchase Expense
Shop rent transferred,383129,Firm,194I,10%,38312.9,344816.1,Rent Expense
Sales commission payment,115850,Individual,194H,5%,5792.5,110057.5,Commission Expense
Vendor supply payment,163113,Firm,194Q,0.1%,163.11,162949.89,Purchase Expense
Warehouse rent paid,248101,Contractor,194I,10%,24810.1,223290.9,Rent Expense
Labour charges paid,85364,Professional,194C,1%,853.64,84510.36,Contractor Expense
Warehouse rent paid,62144,Company,194I,10%,6214.4,55929.6,Rent Expense
Goods purchased from vendor,327688,Company,194Q,0.1%,327.69,327360.31,Purchase Expense
Property rent paid,433048,Professional,194I,10%,43304.8,389743.2,Rent Expense
Commission paid to agent,270549,Firm,194H,5%,13527.45,257021.55,Commission Expense
Purchase of stock items,335959,Professional,194Q,0.1%,335.96,335623.04,Purchase Expense
Transport charges paid,470278,Firm,194C,1%,4702.78,465575.22,Contractor Expense
Shop rent transferred,474935,Contractor,194I,10%,47493.5,427441.5,Rent Expense
Property rent paid,302298,Individual,194I,10%,30229.8,272068.2,Rent Expense
Bulk inventory purchase,82019,Individual,194Q,0.1%,82.02,81936.98,Purchase Expense
Office rent paid,107742,Individual,194I,10%,10774.2,96967.8,Rent Expense
Legal consultancy fees paid,415366,Company,194J,10%,41536.6,373829.4,Professional Fees
Interest on unsecured loan,92510,Professional,194A,10%,9251.0,83259.0,Interest Expense
Referral commission paid,487602,Individual,194H,5%,24380.1,463221.9,Commission Expense
CA fees paid,428307,Individual,194J,10%,42830.7,385476.3,Professional Fees
Brokerage charges paid,378321,Individual,194H,5%,18916.05,359404.95,Commission Expense
Property rent paid,28005,Individual,194I,10%,2800.5,25204.5,Rent Expense
Vendor supply payment,105116,Individual,194Q,0.1%,105.12,105010.88,Purchase Expense
Legal consultancy fees paid,455740,Professional,194J,10%,45574.0,410166.0,Professional Fees
Property rent paid,235532,Professional,194I,10%,23553.2,211978.8,Rent Expense
Labour charges paid,380877,Individual,194C,1%,3808.77,377068.23,Contractor Expense
Transport charges paid,53132,Company,194C,1%,531.32,52600.68,Contractor Expense
Referral commission paid,212648,Firm,194H,5%,10632.4,202015.6,Commission Expense
Bulk inventory purchase,463996,Firm,194Q,0.1%,464.0,463532.0,Purchase Expense
Purchase of stock items,454833,Professional,194Q,0.1%,454.83,454378.17,Purchase Expense
Referral commission paid,485574,Individual,194H,5%,24278.7,461295.3,Commission Expense
Interest on unsecured loan,144845,Company,194A,10%,14484.5,130360.5,Interest Expense
Sales commission payment,497122,Professional,194H,5%,24856.1,472265.9,Commission Expense
Interest paid on loan,411529,Professional,194A,10%,41152.9,370376.1,Interest Expense
Agent incentive paid,226907,Individual,194H,5%,11345.35,215561.65,Commission Expense
Raw material purchase made,39284,Professional,194Q,0.1%,39.28,39244.72,Purchase Expense
Office rent paid,459816,Contractor,194I,10%,45981.6,413834.4,Rent Expense
Interest paid on loan,187705,Firm,194A,10%,18770.5,168934.5,Interest Expense
Property rent paid,302725,Individual,194I,10%,30272.5,272452.5,Rent Expense
Office rent paid,224679,Contractor,194I,10%,22467.9,202211.1,Rent Expense
Goods purchased from vendor,84779,Company,194Q,0.1%,84.78,84694.22,Purchase Expense
Bank interest paid,372989,Company,194A,10%,37298.9,335690.1,Interest Expense
Interest paid on loan,13516,Contractor,194A,10%,1351.6,12164.4,Interest Expense
CA fees paid,60808,Professional,194J,10%,6080.8,54727.2,Professional Fees
Brokerage charges paid,107490,Professional,194H,5%,5374.5,102115.5,Commission Expense
Professional consultancy charges,317835,Professional,194J,10%,31783.5,286051.5,Professional Fees
Legal consultancy fees paid,383875,Company,194J,10%,38387.5,345487.5,Professional Fees
Raw material purchase made,193188,Contractor,194Q,0.1%,193.19,192994.81,Purchase Expense
Referral commission paid,335269,Company,194H,5%,16763.45,318505.55,Commission Expense
Agent incentive paid,23685,Firm,194H,5%,1184.25,22500.75,Commission Expense
Property rent paid,43258,Company,194I,10%,4325.8,38932.2,Rent Expense
Doctor consultation fees paid,193277,Company,194J,10%,19327.7,173949.3,Professional Fees
Interest on unsecured loan,269571,Contractor,194A,10%,26957.1,242613.9,Interest Expense
Brokerage charges paid,348534,Company,194H,5%,17426.7,331107.3,Commission Expense
Freight charges paid,374508,Company,194C,1%,3745.08,370762.92,Contractor Expense
Finance charges paid,357402,Firm,194A,10%,35740.2,321661.8,Interest Expense
Interest on unsecured loan,259236,Professional,194A,10%,25923.6,233312.4,Interest Expense
Purchase of stock items,156390,Professional,194Q,0.1%,156.39,156233.61,Purchase Expense
Agent incentive paid,37385,Professional,194H,5%,1869.25,35515.75,Commission Expense
Raw material purchase made,10126,Individual,194Q,0.1%,10.13,10115.87,Purchase Expense
Bulk inventory purchase,397124,Individual,194Q,0.1%,397.12,396726.88,Purchase Expense
Warehouse rent paid,70023,Firm,194I,10%,7002.3,63020.7,Rent Expense
Bulk inventory purchase,328037,Individual,194Q,0.1%,328.04,327708.96,Purchase Expense
Freight charges paid,276638,Firm,194C,1%,2766.38,273871.62,Contractor Expense
Interest payment booked,470341,Contractor,194A,10%,47034.1,423306.9,Interest Expense
Raw material purchase made,94092,Company,194Q,0.1%,94.09,93997.91,Purchase Expense
Agent incentive paid,313461,Firm,194H,5%,15673.05,297787.95,Commission Expense
Interest payment booked,337797,Professional,194A,10%,33779.7,304017.3,Interest Expense
CA fees paid,113095,Firm,194J,10%,11309.5,101785.5,Professional Fees
Freight charges paid,165736,Contractor,194C,1%,1657.36,164078.64,Contractor Expense
Construction work payment,469898,Company,194C,1%,4698.98,465199.02,Contractor Expense
Sales commission payment,352440,Individual,194H,5%,17622.0,334818.0,Commission Expense
Bulk inventory purchase,373864,Professional,194Q,0.1%,373.86,373490.14,Purchase Expense
Legal consultancy fees paid,79257,Firm,194J,10%,7925.7,71331.3,Professional Fees
Labour charges paid,84885,Firm,194C,1%,848.85,84036.15,Contractor Expense
Bulk inventory purchase,178064,Professional,194Q,0.1%,178.06,177885.94,Purchase Expense
Referral commission paid,409335,Contractor,194H,5%,20466.75,388868.25,Commission Expense
Legal consultancy fees paid,68933,Firm,194J,10%,6893.3,62039.7,Professional Fees
Interest payment booked,470852,Professional,194A,10%,47085.2,423766.8,Interest Expense
CA fees paid,107297,Professional,194J,10%,10729.7,96567.3,Professional Fees
Goods purchased from vendor,351565,Contractor,194Q,0.1%,351.56,351213.44,Purchase Expense
Building lease payment,366764,Professional,194I,10%,36676.4,330087.6,Rent Expense
Referral commission paid,468654,Professional,194H,5%,23432.7,445221.3,Commission Expense
Purchase of stock items,203627,Professional,194Q,0.1%,203.63,203423.37,Purchase Expense
Contractor payment made,32200,Contractor,194C,1%,322.0,31878.0,Contractor Expense
Warehouse rent paid,460488,Contractor,194I,10%,46048.8,414439.2,Rent Expense
Purchase of stock items,341771,Company,194Q,0.1%,341.77,341429.23,Purchase Expense
Construction work payment,493829,Company,194C,1%,4938.29,488890.71,Contractor Expense
Interest payment booked,123616,Contractor,194A,10%,12361.6,111254.4,Interest Expense
Interest paid on loan,264334,Contractor,194A,10%,26433.4,237900.6,Interest Expense
Referral commission paid,446300,Company,194H,5%,22315.0,423985.0,Commission Expense
Office rent paid,171524,Contractor,194I,10%,17152.4,154371.6,Rent Expense
Building lease payment,69585,Individual,194I,10%,6958.5,62626.5,Rent Expense
Freight charges paid,234127,Contractor,194C,1%,2341.27,231785.73,Contractor Expense
Brokerage charges paid,117203,Company,194H,5%,5860.15,111342.85,Commission Expense
Raw material purchase made,456059,Individual,194Q,0.1%,456.06,455602.94,Purchase Expense
CA fees paid,349640,Contractor,194J,10%,34964.0,314676.0,Professional Fees
Property rent paid,25802,Contractor,194I,10%,2580.2,23221.8,Rent Expense
Labour charges paid,151123,Contractor,194C,1%,1511.23,149611.77,Contractor Expense
Professional consultancy charges,290465,Company,194J,10%,29046.5,261418.5,Professional Fees
Goods purchased from vendor,498407,Professional,194Q,0.1%,498.41,497908.59,Purchase Expense
Office rent paid,95641,Professional,194I,10%,9564.1,86076.9,Rent Expense
Professional consultancy charges,189634,Contractor,194J,10%,18963.4,170670.6,Professional Fees
Doctor consultation fees paid,127939,Firm,194J,10%,12793.9,115145.1,Professional Fees
Brokerage charges paid,77454,Professional,194H,5%,3872.7,73581.3,Commission Expense
Freight charges paid,118614,Professional,194C,1%,1186.14,117427.86,Contractor Expense
Purchase of stock items,407961,Company,194Q,0.1%,407.96,407553.04,Purchase Expense
Brokerage charges paid,434758,Firm,194H,5%,21737.9,413020.1,Commission Expense
Freight charges paid,228950,Firm,194C,1%,2289.5,226660.5,Contractor Expense
Doctor consultation fees paid,323069,Contractor,194J,10%,32306.9,290762.1,Professional Fees
Purchase of stock items,230894,Contractor,194Q,0.1%,230.89,230663.11,Purchase Expense
Shop rent transferred,14387,Individual,194I,10%,1438.7,12948.3,Rent Expense
Transport charges paid,276595,Individual,194C,1%,2765.95,273829.05,Contractor Expense
Property rent paid,293032,Firm,194I,10%,29303.2,263728.8,Rent Expense
Agent incentive paid,407701,Professional,194H,5%,20385.05,387315.95,Commission Expense
Purchase of stock items,292990,Firm,194Q,0.1%,292.99,292697.01,Purchase Expense
Interest payment booked,65084,Firm,194A,10%,6508.4,58575.6,Interest Expense
Building lease payment,392849,Firm,194I,10%,39284.9,353564.1,Rent Expense
Doctor consultation fees paid,472362,Company,194J,10%,47236.2,425125.8,Professional Fees
Vendor supply payment,190543,Professional,194Q,0.1%,190.54,190352.46,Purchase Expense
Interest payment booked,140215,Firm,194A,10%,14021.5,126193.5,Interest Expense
Commission paid to agent,13158,Contractor,194H,5%,657.9,12500.1,Commission Expense
Contractor payment made,327751,Firm,194C,1%,3277.51,324473.49,Contractor Expense
Interest payment booked,33823,Company,194A,10%,3382.3,30440.7,Interest Expense
Professional consultancy charges,403271,Individual,194J,10%,40327.1,362943.9,Professional Fees
Vendor supply payment,254610,Company,194Q,0.1%,254.61,254355.39,Purchase Expense
Interest on unsecured loan,434095,Contractor,194A,10%,43409.5,390685.5,Interest Expense
Sales commission payment,297220,Individual,194H,5%,14861.0,282359.0,Commission Expense
Bulk inventory purchase,309223,Firm,194Q,0.1%,309.22,308913.78,Purchase Expense
Construction work payment,147702,Company,194C,1%,1477.02,146224.98,Contractor Expense
Office rent paid,325352,Firm,194I,10%,32535.2,292816.8,Rent Expense
Doctor consultation fees paid,51098,Professional,194J,10%,5109.8,45988.2,Professional Fees
Professional consultancy charges,302242,Company,194J,10%,30224.2,272017.8,Professional Fees
Goods purchased from vendor,216402,Company,194Q,0.1%,216.4,216185.6,Purchase Expense
Finance charges paid,441200,Professional,194A,10%,44120.0,397080.0,Interest Expense
Interest paid on loan,40084,Firm,194A,10%,4008.4,36075.6,Interest Expense
Interest paid on loan,127968,Professional,194A,10%,12796.8,115171.2,Interest Expense
Audit fees paid,252464,Firm,194J,10%,25246.4,227217.6,Professional Fees
Brokerage charges paid,182584,Firm,194H,5%,9129.2,173454.8,Commission Expense
Audit fees paid,380680,Individual,194J,10%,38068.0,342612.0,Professional Fees
Bulk inventory purchase,218166,Company,194Q,0.1%,218.17,217947.83,Purchase Expense
Brokerage charges paid,224553,Company,194H,5%,11227.65,213325.35,Commission Expense
Goods purchased from vendor,111789,Firm,194Q,0.1%,111.79,111677.21,Purchase Expense
CA fees paid,499179,Firm,194J,10%,49917.9,449261.1,Professional Fees
Shop rent transferred,210893,Professional,194I,10%,21089.3,189803.7,Rent Expense
Agent incentive paid,497175,Contractor,194H,5%,24858.75,472316.25,Commission Expense
Goods purchased from vendor,382539,Contractor,194Q,0.1%,382.54,382156.46,Purchase Expense
Interest payment booked,276811,Individual,194A,10%,27681.1,249129.9,Interest Expense
Goods purchased from vendor,6135,Individual,194Q,0.1%,6.13,6128.87,Purchase Expense
Goods purchased from vendor,406264,Professional,194Q,0.1%,406.26,405857.74,Purchase Expense
Sales commission payment,207947,Firm,194H,5%,10397.35,197549.65,Commission Expense
Bulk inventory purchase,352862,Company,194Q,0.1%,352.86,352509.14,Purchase Expense
Labour charges paid,32749,Individual,194C,1%,327.49,32421.51,Contractor Expense
Freight charges paid,497139,Professional,194C,1%,4971.39,492167.61,Contractor Expense
Bank interest paid,332662,Professional,194A,10%,33266.2,299395.8,Interest Expense
Transport charges paid,434684,Professional,194C,1%,4346.84,430337.16,Contractor Expense
Doctor consultation fees paid,223709,Individual,194J,10%,22370.9,201338.1,Professional Fees
Doctor consultation fees paid,348518,Company,194J,10%,34851.8,313666.2,Professional Fees
Goods purchased from vendor,148437,Professional,194Q,0.1%,148.44,148288.56,Purchase Expense
Brokerage charges paid,303017,Individual,194H,5%,15150.85,287866.15,Commission Expense
CA fees paid,249166,Company,194J,10%,24916.6,224249.4,Professional Fees
Bulk inventory purchase,204933,Firm,194Q,0.1%,204.93,204728.07,Purchase Expense
Building lease payment,34815,Company,194I,10%,3481.5,31333.5,Rent Expense
Office rent paid,22129,Firm,194I,10%,2212.9,19916.1,Rent Expense
Interest paid on loan,321875,Firm,194A,10%,32187.5,289687.5,Interest Expense
Commission paid to agent,304740,Individual,194H,5%,15237.0,289503.0,Commission Expense
Interest on unsecured loan,276197,Individual,194A,10%,27619.7,248577.3,Interest Expense
Legal consultancy fees paid,29560,Company,194J,10%,2956.0,26604.0,Professional Fees
Office rent paid,32224,Individual,194I,10%,3222.4,29001.6,Rent Expense
Bulk inventory purchase,200771,Contractor,194Q,0.1%,200.77,200570.23,Purchase Expense
Contractor payment made,374712,Professional,194C,1%,3747.12,370964.88,Contractor Expense
Referral commission paid,92339,Professional,194H,5%,4616.95,87722.05,Commission Expense
Construction work payment,112596,Individual,194C,1%,1125.96,111470.04,Contractor Expense
Commission paid to agent,323000,Company,194H,5%,16150.0,306850.0,Commission Expense
CA fees paid,270025,Individual,194J,10%,27002.5,243022.5,Professional Fees
Commission paid to agent,445349,Contractor,194H,5%,22267.45,423081.55,Commission Expense
Purchase of stock items,112462,Firm,194Q,0.1%,112.46,112349.54,Purchase Expense
Purchase of stock items,176594,Firm,194Q,0.1%,176.59,176417.41,Purchase Expense
Transport charges paid,452567,Company,194C,1%,4525.67,448041.33,Contractor Expense
Sales commission payment,404915,Company,194H,5%,20245.75,384669.25,Commission Expense
Interest payment booked,92511,Firm,194A,10%,9251.1,83259.9,Interest Expense
Freight charges paid,73264,Firm,194C,1%,732.64,72531.36,Contractor Expense
Labour charges paid,432256,Professional,194C,1%,4322.56,427933.44,Contractor Expense
Interest paid on loan,77217,Firm,194A,10%,7721.7,69495.3,Interest Expense
Finance charges paid,446499,Firm,194A,10%,44649.9,401849.1,Interest Expense
Finance charges paid,323790,Firm,194A,10%,32379.0,291411.0,Interest Expense
Brokerage charges paid,486807,Professional,194H,5%,24340.35,462466.65,Commission Expense
Bulk inventory purchase,64059,Company,194Q,0.1%,64.06,63994.94,Purchase Expense
Brokerage charges paid,240280,Individual,194H,5%,12014.0,228266.0,Commission Expense
Sales commission payment,402685,Firm,194H,5%,20134.25,382550.75,Commission Expense
Legal consultancy fees paid,365698,Company,194J,10%,36569.8,329128.2,Professional Fees
Interest paid on loan,174570,Professional,194A,10%,17457.0,157113.0,Interest Expense
Interest on unsecured loan,66928,Individual,194A,10%,6692.8,60235.2,Interest Expense
Office rent paid,335933,Professional,194I,10%,33593.3,302339.7,Rent Expense
Shop rent transferred,388653,Contractor,194I,10%,38865.3,349787.7,Rent Expense
Interest paid on loan,65165,Company,194A,10%,6516.5,58648.5,Interest Expense
Agent incentive paid,275328,Individual,194H,5%,13766.4,261561.6,Commission Expense
Goods purchased from vendor,152052,Firm,194Q,0.1%,152.05,151899.95,Purchase Expense
Property rent paid,190798,Contractor,194I,10%,19079.8,171718.2,Rent Expense
Referral commission paid,378200,Firm,194H,5%,18910.0,359290.0,Commission Expense
Vendor supply payment,217851,Firm,194Q,0.1%,217.85,217633.15,Purchase Expense
Interest paid on loan,160115,Contractor,194A,10%,16011.5,144103.5,Interest Expense
Bank interest paid,493655,Contractor,194A,10%,49365.5,444289.5,Interest Expense
Commission paid to agent,26695,Company,194H,5%,1334.75,25360.25,Commission Expense
Construction work payment,107111,Contractor,194C,1%,1071.11,106039.89,Contractor Expense
Referral commission paid,223389,Firm,194H,5%,11169.45,212219.55,Commission Expense
Interest paid on loan,430176,Firm,194A,10%,43017.6,387158.4,Interest Expense
Office rent paid,322999,Company,194I,10%,32299.9,290699.1,Rent Expense
Raw material purchase made,146923,Firm,194Q,0.1%,146.92,146776.08,Purchase Expense
Sales commission payment,310267,Company,194H,5%,15513.35,294753.65,Commission Expense
Freight charges paid,244923,Professional,194C,1%,2449.23,242473.77,Contractor Expense
Vendor supply payment,425460,Professional,194Q,0.1%,425.46,425034.54,Purchase Expense
Transport charges paid,424940,Contractor,194C,1%,4249.4,420690.6,Contractor Expense
Goods purchased from vendor,101581,Company,194Q,0.1%,101.58,101479.42,Purchase Expense
Commission paid to agent,83533,Individual,194H,5%,4176.65,79356.35,Commission Expense
Building lease payment,483121,Company,194I,10%,48312.1,434808.9,Rent Expense
Warehouse rent paid,266616,Contractor,194I,10%,26661.6,239954.4,Rent Expense
Office rent paid,447296,Contractor,194I,10%,44729.6,402566.4,Rent Expense
Legal consultancy fees paid,258170,Professional,194J,10%,25817.0,232353.0,Professional Fees
CA fees paid,137203,Firm,194J,10%,13720.3,123482.7,Professional Fees
Agent incentive paid,198620,Professional,194H,5%,9931.0,188689.0,Commission Expense
Purchase of stock items,55414,Professional,194Q,0.1%,55.41,55358.59,Purchase Expense
Office rent paid,304396,Individual,194I,10%,30439.6,273956.4,Rent Expense
Goods purchased from vendor,279934,Firm,194Q,0.1%,279.93,279654.07,Purchase Expense
Transport charges paid,475637,Firm,194C,1%,4756.37,470880.63,Contractor Expense
Audit fees paid,383924,Contractor,194J,10%,38392.4,345531.6,Professional Fees
Goods purchased from vendor,57179,Company,194Q,0.1%,57.18,57121.82,Purchase Expense
Bank interest paid,193043,Individual,194A,10%,19304.3,173738.7,Interest Expense
Office rent paid,62124,Firm,194I,10%,6212.4,55911.6,Rent Expense
Purchase of stock items,407016,Professional,194Q,0.1%,407.02,406608.98,Purchase Expense
