Book_Description,Bank_Description,Book_Amount,Bank_Amount,Book_Date,Bank_Date,Book_Reference,Bank_Reference,Book_Cheque,Bank_Cheque,Status
Salary Payment,Not Available,78235,0,2026-06-28,2026-06-28,REF99330,NA,CHQ7778,NA,Missing Entry
GST Payment,GST Payment,71220,71214,2026-07-01,2026-07-02,REF43544,REF43544,CHQ3737,CHQ3737,Fuzzy Matched
Bank Charges,Bank Charges,93554,93554,2026-06-01,2026-06-01,REF37168,REF37168,CHQ1878,CHQ1878,Duplicate
Office Rent,Office Rent,6495,6495,2026-06-20,2026-06-20,REF80759,REF80759,CHQ5140,CHQ5140,Duplicate
GST Payment,GST Payment,14939,14939,2026-06-21,2026-06-21,REF30690,REF30690,CHQ9855,CHQ9855,Duplicate
Salary Payment,Salary Payment,9286,9286,2026-06-11,2026-06-11,REF22521,REF22521,CHQ2913,CHQ2913,Matched
Vendor Payment,Unknown Transaction,17757,53271,2026-06-02,2026-06-02,REF35091,REF35091,CHQ7889,CHQ7889,Suspicious
Office Rent,Office Rent,14994,14994,2026-06-15,2026-06-15,REF55349,REF55349,CHQ3845,CHQ3845,Duplicate
Salary Payment,Unknown Transaction,79332,237996,2026-06-26,2026-06-26,REF89017,REF89017,CHQ9319,CHQ9319,Suspicious
Vendor Payment,Vendor Payment,13844,13844,2026-06-24,2026-06-24,REF15394,REF15394,CHQ7574,CHQ7574,Duplicate
Bank Charges,Bank Charges,87378,87378,2026-06-27,2026-06-27,REF78497,REF78497,CHQ9293,CHQ9293,Matched
Electricity Bill,Electricity Bill,59336,59336,2026-06-14,2026-06-14,REF41386,REF41386,CHQ8464,CHQ8464,Duplicate
Software Subscription,Software Subscription,69265,69265,2026-06-30,2026-06-30,REF32726,REF32726,CHQ8787,CHQ8787,Matched
Software Subscription,Not Available,14940,0,2026-06-09,2026-06-09,REF46411,NA,CHQ2594,NA,Missing Entry
Salary Payment,Salary Payment,5430,5430,2026-06-16,2026-06-16,REF49078,REF49078,CHQ8599,CHQ8599,Matched
Salary Payment,Unknown Transaction,71168,284672,2026-06-27,2026-06-27,REF60840,REF60840,CHQ7493,CHQ7493,Suspicious
Fuel Expense,Fuel Expense,42257,42257,2026-06-14,2026-06-14,REF81175,REF81175,CHQ2796,CHQ2796,Matched
Vendor Payment,Not Available,41162,0,2026-06-02,2026-06-02,REF48972,NA,CHQ2534,NA,Missing Entry
Vendor Payment,Unknown Transaction,45307,90614,2026-06-08,2026-06-08,REF70859,REF70859,CHQ7710,CHQ7710,Suspicious
Professional Fees,Professional Fees,15669,-15669,2026-06-11,2026-06-11,REF51770,REF51770,CHQ1394,CHQ1394,Reversal Entry
Electricity Bill,Electricity Bill,41947,41947,2026-06-09,2026-06-09,REF58846,REF58846,CHQ8789,CHQ8789,Duplicate
Bank Charges,Unknown Transaction,66337,132674,2026-06-10,2026-06-10,REF54666,REF54666,CHQ6600,CHQ6600,Suspicious
Software Subscription,Software Subscription,95293,95293,2026-07-01,2026-07-01,REF66354,REF66354,CHQ4566,CHQ4566,Duplicate
Salary Payment,Salary Payment,84021,84021,2026-06-08,2026-06-08,REF84560,REF84560,CHQ4777,CHQ4777,Matched
Professional Fees,Professional Fees,73669,73660,2026-06-20,2026-06-23,REF74253,REF74253,CHQ9216,CHQ9216,Fuzzy Matched
Fuel Expense,Fuel Expense,56441,-56441,2026-06-16,2026-06-16,REF54050,REF54050,CHQ2439,CHQ2439,Reversal Entry
Electricity Bill,Electricity Bill,36634,-36634,2026-06-28,2026-06-28,REF30953,REF30953,CHQ2045,CHQ2045,Reversal Entry
Customer Receipt,Customer Receipt,19528,19523,2026-06-01,2026-06-04,REF29923,REF29923,CHQ6765,CHQ6765,Fuzzy Matched
Fuel Expense,Fuel Expense,56042,56042,2026-06-21,2026-06-21,REF56265,REF56265,CHQ5553,CHQ5553,Duplicate
Office Rent,Unknown Transaction,44450,88900,2026-06-27,2026-06-27,REF77441,REF77441,CHQ7574,CHQ7574,Suspicious
Fuel Expense,Fuel Expense,98253,98253,2026-06-11,2026-06-11,REF70205,REF70205,CHQ8914,CHQ8914,Duplicate
GST Payment,Unknown Transaction,43747,131241,2026-06-02,2026-06-02,REF66808,REF66808,CHQ5730,CHQ5730,Suspicious
GST Payment,Not Available,64770,0,2026-06-22,2026-06-22,REF12166,NA,CHQ7399,NA,Missing Entry
Software Subscription,Software Subscription,55263,55263,2026-06-02,2026-06-02,REF48615,REF48615,CHQ4547,CHQ4547,Matched
Vendor Payment,Vendor Payment,64801,64801,2026-06-02,2026-06-02,REF50411,REF50411,CHQ1087,CHQ1087,Duplicate
Software Subscription,Not Available,38109,0,2026-07-01,2026-07-01,REF91409,NA,CHQ3508,NA,Missing Entry
GST Payment,GST Payment,40289,40299,2026-06-20,2026-06-21,REF85423,REF85423,CHQ7302,CHQ7302,Fuzzy Matched
Electricity Bill,Unknown Transaction,22572,67716,2026-06-20,2026-06-20,REF67988,REF67988,CHQ2631,CHQ2631,Suspicious
Vendor Payment,Vendor Payment,40158,40158,2026-06-01,2026-06-01,REF20837,REF20837,CHQ3648,CHQ3648,Duplicate
Professional Fees,Unknown Transaction,52687,158061,2026-06-22,2026-06-22,REF60404,REF60404,CHQ6360,CHQ6360,Suspicious
Software Subscription,Software Subscription,47764,47764,2026-06-06,2026-06-06,REF50755,REF50755,CHQ7555,CHQ7555,Matched
Bank Charges,Bank Charges,97822,97822,2026-06-19,2026-06-19,REF44278,REF44278,CHQ3786,CHQ3786,Duplicate
Bank Charges,Bank Charges,9266,9266,2026-07-01,2026-07-01,REF90759,REF90759,CHQ2901,CHQ2901,Duplicate
Vendor Payment,Vendor Payment,41841,-41841,2026-07-01,2026-07-01,REF52537,REF52537,CHQ4919,CHQ4919,Reversal Entry
Professional Fees,Unknown Transaction,95550,382200,2026-06-29,2026-06-29,REF55613,REF55613,CHQ5569,CHQ5569,Suspicious
Office Rent,Office Rent,47037,-47037,2026-06-10,2026-06-10,REF31984,REF31984,CHQ9176,CHQ9176,Reversal Entry
Vendor Payment,Vendor Payment,7433,7433,2026-06-18,2026-06-18,REF30375,REF30375,CHQ1873,CHQ1873,Duplicate
GST Payment,GST Payment,70640,70640,2026-06-22,2026-06-22,REF44591,REF44591,CHQ6522,CHQ6522,Matched
Customer Receipt,Customer Receipt,15228,15228,2026-06-09,2026-06-09,REF36443,REF36443,CHQ2327,CHQ2327,Matched
Customer Receipt,Customer Receipt,57144,57144,2026-06-09,2026-06-09,REF29282,REF29282,CHQ3831,CHQ3831,Matched
GST Payment,GST Payment,94037,94037,2026-06-30,2026-06-30,REF78290,REF78290,CHQ5308,CHQ5308,Duplicate
Customer Receipt,Customer Receipt,84501,84491,2026-06-18,2026-06-20,REF96268,REF96268,CHQ3731,CHQ3731,Fuzzy Matched
Electricity Bill,Unknown Transaction,79775,159550,2026-06-18,2026-06-18,REF18194,REF18194,CHQ1180,CHQ1180,Suspicious
Office Rent,Unknown Transaction,62717,125434,2026-06-03,2026-06-03,REF23777,REF23777,CHQ3895,CHQ3895,Suspicious
Office Rent,Not Available,19283,0,2026-06-22,2026-06-22,REF73758,NA,CHQ9129,NA,Missing Entry
Bank Charges,Not Available,28185,0,2026-06-23,2026-06-23,REF65233,NA,CHQ8057,NA,Missing Entry
Electricity Bill,Unknown Transaction,97976,489880,2026-06-26,2026-06-26,REF25112,REF25112,CHQ2506,CHQ2506,Suspicious
Electricity Bill,Electricity Bill,65802,65802,2026-06-14,2026-06-14,REF95611,REF95611,CHQ5532,CHQ5532,Duplicate
Software Subscription,Software Subscription,89546,89546,2026-06-15,2026-06-15,REF57316,REF57316,CHQ8375,CHQ8375,Matched
Bank Charges,Not Available,2409,0,2026-06-23,2026-06-23,REF58239,NA,CHQ7549,NA,Missing Entry
Bank Charges,Unknown Transaction,95543,191086,2026-06-27,2026-06-27,REF70932,REF70932,CHQ8566,CHQ8566,Suspicious
Professional Fees,Professional Fees,86806,86806,2026-06-26,2026-06-26,REF26312,REF26312,CHQ9613,CHQ9613,Duplicate
Office Rent,Office Rent,90407,-90407,2026-06-21,2026-06-21,REF49232,REF49232,CHQ7040,CHQ7040,Reversal Entry
Software Subscription,Software Subscription,38344,38344,2026-06-15,2026-06-15,REF96063,REF96063,CHQ1901,CHQ1901,Duplicate
GST Payment,Unknown Transaction,39031,117093,2026-06-01,2026-06-01,REF42965,REF42965,CHQ3847,CHQ3847,Suspicious
Software Subscription,Software Subscription,69776,69769,2026-06-01,2026-06-02,REF74087,REF74087,CHQ2389,CHQ2389,Fuzzy Matched
Customer Receipt,Unknown Transaction,61870,247480,2026-06-01,2026-06-01,REF26331,REF26331,CHQ4460,CHQ4460,Suspicious
Fuel Expense,Fuel Expense,16875,16884,2026-06-21,2026-06-24,REF69329,REF69329,CHQ6894,CHQ6894,Fuzzy Matched
Software Subscription,Not Available,23704,0,2026-06-24,2026-06-24,REF14174,NA,CHQ2590,NA,Missing Entry
Salary Payment,Salary Payment,55754,55760,2026-06-13,2026-06-14,REF28373,REF28373,CHQ2155,CHQ2155,Fuzzy Matched
Professional Fees,Professional Fees,22562,22555,2026-06-14,2026-06-16,REF76430,REF76430,CHQ2331,CHQ2331,Fuzzy Matched
Vendor Payment,Vendor Payment,18375,18375,2026-06-27,2026-06-27,REF90457,REF90457,CHQ1570,CHQ1570,Duplicate
Customer Receipt,Customer Receipt,49949,49948,2026-06-26,2026-06-29,REF54791,REF54791,CHQ3338,CHQ3338,Fuzzy Matched
Vendor Payment,Unknown Transaction,51108,153324,2026-06-12,2026-06-12,REF70981,REF70981,CHQ4581,CHQ4581,Suspicious
Customer Receipt,Customer Receipt,49670,49670,2026-06-10,2026-06-10,REF89809,REF89809,CHQ3095,CHQ3095,Duplicate
Electricity Bill,Electricity Bill,66397,66394,2026-06-05,2026-06-07,REF47227,REF47227,CHQ7588,CHQ7588,Fuzzy Matched
Electricity Bill,Not Available,83316,0,2026-06-07,2026-06-07,REF83938,NA,CHQ9196,NA,Missing Entry
Vendor Payment,Vendor Payment,74891,74881,2026-06-16,2026-06-18,REF22888,REF22888,CHQ7209,CHQ7209,Fuzzy Matched
Electricity Bill,Unknown Transaction,56939,170817,2026-06-23,2026-06-23,REF77726,REF77726,CHQ2499,CHQ2499,Suspicious
Fuel Expense,Unknown Transaction,87646,350584,2026-06-21,2026-06-21,REF57911,REF57911,CHQ9673,CHQ9673,Suspicious
Electricity Bill,Electricity Bill,25415,25415,2026-06-01,2026-06-01,REF43430,REF43430,CHQ8464,CHQ8464,Duplicate
Vendor Payment,Vendor Payment,89931,89931,2026-06-18,2026-06-18,REF83606,REF83606,CHQ9469,CHQ9469,Matched
Electricity Bill,Not Available,99780,0,2026-06-12,2026-06-12,REF35014,NA,CHQ4925,NA,Missing Entry
Bank Charges,Bank Charges,45500,45500,2026-06-26,2026-06-26,REF72421,REF72421,CHQ3832,CHQ3832,Matched
Bank Charges,Unknown Transaction,60913,243652,2026-06-12,2026-06-12,REF31175,REF31175,CHQ4448,CHQ4448,Suspicious
Electricity Bill,Electricity Bill,70230,-70230,2026-06-27,2026-06-27,REF14948,REF14948,CHQ4791,CHQ4791,Reversal Entry
Office Rent,Office Rent,79052,-79052,2026-06-27,2026-06-27,REF91073,REF91073,CHQ6166,CHQ6166,Reversal Entry
Office Rent,Unknown Transaction,72430,289720,2026-06-14,2026-06-14,REF41847,REF41847,CHQ4776,CHQ4776,Suspicious
Office Rent,Office Rent,24544,24544,2026-06-28,2026-06-28,REF13035,REF13035,CHQ1682,CHQ1682,Duplicate
Professional Fees,Not Available,28034,0,2026-06-01,2026-06-01,REF19763,NA,CHQ2958,NA,Missing Entry
Software Subscription,Software Subscription,66508,66512,2026-06-30,2026-07-03,REF97335,REF97335,CHQ1279,CHQ1279,Fuzzy Matched
Fuel Expense,Fuel Expense,72989,72989,2026-06-02,2026-06-02,REF88947,REF88947,CHQ4578,CHQ4578,Duplicate
Software Subscription,Software Subscription,22916,-22916,2026-06-07,2026-06-07,REF20428,REF20428,CHQ8679,CHQ8679,Reversal Entry
Customer Receipt,Customer Receipt,20595,20595,2026-06-25,2026-06-25,REF22487,REF22487,CHQ5780,CHQ5780,Duplicate
Bank Charges,Bank Charges,60234,60235,2026-06-12,2026-06-14,REF21501,REF21501,CHQ7907,CHQ7907,Fuzzy Matched
Vendor Payment,Not Available,85989,0,2026-06-12,2026-06-12,REF85630,NA,CHQ7251,NA,Missing Entry
Customer Receipt,Customer Receipt,58604,58604,2026-06-19,2026-06-19,REF70038,REF70038,CHQ1479,CHQ1479,Duplicate
Office Rent,Unknown Transaction,35851,179255,2026-06-18,2026-06-18,REF47593,REF47593,CHQ8710,CHQ8710,Suspicious
GST Payment,GST Payment,78937,78937,2026-06-05,2026-06-05,REF75834,REF75834,CHQ2475,CHQ2475,Matched
Vendor Payment,Not Available,51499,0,2026-06-21,2026-06-21,REF90655,NA,CHQ6393,NA,Missing Entry
Electricity Bill,Electricity Bill,24630,-24630,2026-06-20,2026-06-20,REF93580,REF93580,CHQ6090,CHQ6090,Reversal Entry
GST Payment,Not Available,28891,0,2026-06-05,2026-06-05,REF60449,NA,CHQ6905,NA,Missing Entry
Vendor Payment,Vendor Payment,64296,64295,2026-06-11,2026-06-14,REF19787,REF19787,CHQ3151,CHQ3151,Fuzzy Matched
Vendor Payment,Vendor Payment,90234,90234,2026-06-19,2026-06-19,REF20375,REF20375,CHQ6805,CHQ6805,Duplicate
GST Payment,GST Payment,78924,78924,2026-06-07,2026-06-07,REF43722,REF43722,CHQ8649,CHQ8649,Matched
Fuel Expense,Fuel Expense,95357,-95357,2026-06-15,2026-06-15,REF48150,REF48150,CHQ9533,CHQ9533,Reversal Entry
Fuel Expense,Fuel Expense,7600,7600,2026-06-14,2026-06-14,REF49226,REF49226,CHQ9746,CHQ9746,Matched
Vendor Payment,Vendor Payment,47312,-47312,2026-06-26,2026-06-26,REF98237,REF98237,CHQ3881,CHQ3881,Reversal Entry
GST Payment,Unknown Transaction,24415,122075,2026-06-03,2026-06-03,REF22550,REF22550,CHQ7290,CHQ7290,Suspicious
Fuel Expense,Unknown Transaction,56978,227912,2026-06-25,2026-06-25,REF78546,REF78546,CHQ3700,CHQ3700,Suspicious
Vendor Payment,Vendor Payment,45831,-45831,2026-06-19,2026-06-19,REF17014,REF17014,CHQ4872,CHQ4872,Reversal Entry
Software Subscription,Software Subscription,61184,61184,2026-06-27,2026-06-27,REF26467,REF26467,CHQ4774,CHQ4774,Matched
Fuel Expense,Fuel Expense,90319,-90319,2026-06-10,2026-06-10,REF68752,REF68752,CHQ7462,CHQ7462,Reversal Entry
Fuel Expense,Unknown Transaction,85750,428750,2026-06-27,2026-06-27,REF52658,REF52658,CHQ6602,CHQ6602,Suspicious
Customer Receipt,Unknown Transaction,56785,113570,2026-06-16,2026-06-16,REF31727,REF31727,CHQ5487,CHQ5487,Suspicious
Professional Fees,Professional Fees,70211,70211,2026-06-20,2026-06-22,REF14256,REF14256,CHQ1779,CHQ1779,Fuzzy Matched
Salary Payment,Salary Payment,67785,-67785,2026-06-10,2026-06-10,REF39171,REF39171,CHQ8190,CHQ8190,Reversal Entry
Office Rent,Office Rent,59158,59158,2026-06-20,2026-06-20,REF98297,REF98297,CHQ6808,CHQ6808,Matched
Software Subscription,Software Subscription,12582,12582,2026-06-23,2026-06-23,REF54270,REF54270,CHQ3062,CHQ3062,Duplicate
Office Rent,Unknown Transaction,6123,18369,2026-06-25,2026-06-25,REF72308,REF72308,CHQ7411,CHQ7411,Suspicious
Salary Payment,Salary Payment,6764,-6764,2026-06-21,2026-06-21,REF81119,REF81119,CHQ4811,CHQ4811,Reversal Entry
Bank Charges,Bank Charges,70877,70877,2026-06-30,2026-06-30,REF90383,REF90383,CHQ8055,CHQ8055,Duplicate
Office Rent,Office Rent,88082,-88082,2026-06-08,2026-06-08,REF65948,REF65948,CHQ3532,CHQ3532,Reversal Entry
Bank Charges,Not Available,43134,0,2026-06-20,2026-06-20,REF68001,NA,CHQ3971,NA,Missing Entry
Electricity Bill,Electricity Bill,59379,-59379,2026-06-17,2026-06-17,REF20810,REF20810,CHQ7691,CHQ7691,Reversal Entry
Software Subscription,Software Subscription,97531,97531,2026-06-28,2026-06-28,REF66097,REF66097,CHQ2330,CHQ2330,Duplicate
Electricity Bill,Unknown Transaction,54724,109448,2026-06-15,2026-06-15,REF82232,REF82232,CHQ4629,CHQ4629,Suspicious
Fuel Expense,Fuel Expense,52255,52255,2026-06-15,2026-06-15,REF21506,REF21506,CHQ4746,CHQ4746,Matched
GST Payment,GST Payment,66002,-66002,2026-06-06,2026-06-06,REF84502,REF84502,CHQ3238,CHQ3238,Reversal Entry
Salary Payment,Salary Payment,39974,39974,2026-06-21,2026-06-21,REF93530,REF93530,CHQ4538,CHQ4538,Matched
Salary Payment,Salary Payment,81586,-81586,2026-06-07,2026-06-07,REF73242,REF73242,CHQ5349,CHQ5349,Reversal Entry
Salary Payment,Salary Payment,92354,92347,2026-06-11,2026-06-12,REF95165,REF95165,CHQ7665,CHQ7665,Fuzzy Matched
Salary Payment,Salary Payment,23371,23381,2026-06-16,2026-06-17,REF64402,REF64402,CHQ9888,CHQ9888,Fuzzy Matched
Office Rent,Office Rent,4008,4008,2026-06-09,2026-06-09,REF14837,REF14837,CHQ4279,CHQ4279,Matched
Fuel Expense,Fuel Expense,59991,59991,2026-06-09,2026-06-09,REF70345,REF70345,CHQ9698,CHQ9698,Matched
Professional Fees,Professional Fees,56936,56936,2026-07-01,2026-07-01,REF55675,REF55675,CHQ8210,CHQ8210,Duplicate
Bank Charges,Bank Charges,45614,45614,2026-06-27,2026-06-27,REF99571,REF99571,CHQ4040,CHQ4040,Duplicate
Fuel Expense,Unknown Transaction,14748,73740,2026-06-14,2026-06-14,REF63743,REF63743,CHQ7457,CHQ7457,Suspicious
Fuel Expense,Fuel Expense,45385,45385,2026-06-18,2026-06-18,REF18729,REF18729,CHQ4290,CHQ4290,Duplicate
Electricity Bill,Electricity Bill,50812,50812,2026-06-18,2026-06-18,REF15646,REF15646,CHQ9483,CHQ9483,Duplicate
Office Rent,Office Rent,28778,-28778,2026-06-04,2026-06-04,REF43518,REF43518,CHQ1494,CHQ1494,Reversal Entry
Software Subscription,Not Available,57494,0,2026-06-06,2026-06-06,REF23407,NA,CHQ3950,NA,Missing Entry
GST Payment,GST Payment,19789,-19789,2026-06-30,2026-06-30,REF88588,REF88588,CHQ5786,CHQ5786,Reversal Entry
Software Subscription,Software Subscription,60597,60597,2026-06-01,2026-06-01,REF91770,REF91770,CHQ9960,CHQ9960,Duplicate
Software Subscription,Software Subscription,66911,66921,2026-06-20,2026-06-21,REF74693,REF74693,CHQ5789,CHQ5789,Fuzzy Matched
Bank Charges,Unknown Transaction,71595,357975,2026-06-19,2026-06-19,REF21107,REF21107,CHQ2574,CHQ2574,Suspicious
Salary Payment,Not Available,71456,0,2026-06-12,2026-06-12,REF74670,NA,CHQ6019,NA,Missing Entry
GST Payment,Not Available,33276,0,2026-06-21,2026-06-21,REF43222,NA,CHQ9984,NA,Missing Entry
Fuel Expense,Unknown Transaction,97361,486805,2026-06-20,2026-06-20,REF58968,REF58968,CHQ5200,CHQ5200,Suspicious
Customer Receipt,Unknown Transaction,23002,92008,2026-06-05,2026-06-05,REF44315,REF44315,CHQ2617,CHQ2617,Suspicious
Salary Payment,Not Available,40941,0,2026-06-18,2026-06-18,REF32699,NA,CHQ3143,NA,Missing Entry
Fuel Expense,Not Available,14822,0,2026-06-17,2026-06-17,REF12558,NA,CHQ8640,NA,Missing Entry
Fuel Expense,Fuel Expense,30369,-30369,2026-06-07,2026-06-07,REF83003,REF83003,CHQ9946,CHQ9946,Reversal Entry
Electricity Bill,Electricity Bill,4941,4936,2026-06-04,2026-06-06,REF13656,REF13656,CHQ4553,CHQ4553,Fuzzy Matched
Salary Payment,Salary Payment,78567,78571,2026-06-07,2026-06-10,REF55438,REF55438,CHQ5538,CHQ5538,Fuzzy Matched
Software Subscription,Unknown Transaction,96044,288132,2026-06-03,2026-06-03,REF45249,REF45249,CHQ3070,CHQ3070,Suspicious
Office Rent,Office Rent,49960,49960,2026-06-20,2026-06-20,REF67173,REF67173,CHQ9656,CHQ9656,Matched
Vendor Payment,Vendor Payment,35973,35973,2026-06-14,2026-06-14,REF77297,REF77297,CHQ6229,CHQ6229,Duplicate
Electricity Bill,Electricity Bill,9041,-9041,2026-06-25,2026-06-25,REF79744,REF79744,CHQ9222,CHQ9222,Reversal Entry
Bank Charges,Bank Charges,78026,-78026,2026-06-08,2026-06-08,REF44640,REF44640,CHQ1102,CHQ1102,Reversal Entry
Salary Payment,Salary Payment,87310,87310,2026-06-19,2026-06-19,REF25520,REF25520,CHQ8873,CHQ8873,Matched
GST Payment,GST Payment,93296,93296,2026-06-22,2026-06-22,REF94218,REF94218,CHQ8433,CHQ8433,Matched
Customer Receipt,Customer Receipt,18676,-18676,2026-06-02,2026-06-02,REF81780,REF81780,CHQ9869,CHQ9869,Reversal Entry
Electricity Bill,Electricity Bill,40650,40650,2026-06-11,2026-06-11,REF87670,REF87670,CHQ9245,CHQ9245,Duplicate
Software Subscription,Software Subscription,65487,65487,2026-06-24,2026-06-24,REF26809,REF26809,CHQ7539,CHQ7539,Duplicate
Software Subscription,Software Subscription,10744,-10744,2026-06-17,2026-06-17,REF51599,REF51599,CHQ6945,CHQ6945,Reversal Entry
Professional Fees,Professional Fees,29265,29265,2026-06-28,2026-06-28,REF39309,REF39309,CHQ7833,CHQ7833,Matched
Customer Receipt,Not Available,78886,0,2026-06-17,2026-06-17,REF63117,NA,CHQ9351,NA,Missing Entry
Bank Charges,Bank Charges,37699,37699,2026-06-05,2026-06-05,REF15057,REF15057,CHQ5081,CHQ5081,Matched
GST Payment,GST Payment,50940,-50940,2026-06-06,2026-06-06,REF50549,REF50549,CHQ6630,CHQ6630,Reversal Entry
Vendor Payment,Vendor Payment,15159,-15159,2026-06-21,2026-06-21,REF34389,REF34389,CHQ8299,CHQ8299,Reversal Entry
Professional Fees,Professional Fees,50213,50213,2026-06-21,2026-06-21,REF92786,REF92786,CHQ9286,CHQ9286,Duplicate
Vendor Payment,Unknown Transaction,50434,252170,2026-06-23,2026-06-23,REF88882,REF88882,CHQ4332,CHQ4332,Suspicious
Bank Charges,Not Available,23953,0,2026-06-25,2026-06-25,REF57113,NA,CHQ3376,NA,Missing Entry
Office Rent,Office Rent,86361,86361,2026-06-09,2026-06-09,REF36994,REF36994,CHQ6388,CHQ6388,Duplicate
Electricity Bill,Electricity Bill,99968,-99968,2026-06-04,2026-06-04,REF30023,REF30023,CHQ2546,CHQ2546,Reversal Entry
Electricity Bill,Electricity Bill,3643,-3643,2026-06-29,2026-06-29,REF32691,REF32691,CHQ7174,CHQ7174,Reversal Entry
Fuel Expense,Not Available,97033,0,2026-06-27,2026-06-27,REF96218,NA,CHQ9093,NA,Missing Entry
GST Payment,Not Available,97899,0,2026-06-29,2026-06-29,REF17087,NA,CHQ1319,NA,Missing Entry
Fuel Expense,Fuel Expense,55397,55397,2026-06-11,2026-06-11,REF11286,REF11286,CHQ9586,CHQ9586,Duplicate
Bank Charges,Bank Charges,89827,89833,2026-06-22,2026-06-24,REF42300,REF42300,CHQ5565,CHQ5565,Fuzzy Matched
Vendor Payment,Not Available,76866,0,2026-06-11,2026-06-11,REF44881,NA,CHQ6519,NA,Missing Entry
Vendor Payment,Vendor Payment,76718,76722,2026-06-29,2026-07-02,REF69405,REF69405,CHQ8626,CHQ8626,Fuzzy Matched
Office Rent,Office Rent,83923,83923,2026-06-12,2026-06-12,REF38161,REF38161,CHQ7443,CHQ7443,Matched
Professional Fees,Professional Fees,59771,59771,2026-06-21,2026-06-21,REF37247,REF37247,CHQ5467,CHQ5467,Duplicate
Bank Charges,Bank Charges,44196,44196,2026-06-16,2026-06-16,REF95402,REF95402,CHQ6276,CHQ6276,Duplicate
Vendor Payment,Unknown Transaction,67646,270584,2026-06-12,2026-06-12,REF31170,REF31170,CHQ9704,CHQ9704,Suspicious
Salary Payment,Not Available,42629,0,2026-06-01,2026-06-01,REF90132,NA,CHQ7570,NA,Missing Entry
Professional Fees,Professional Fees,65054,65054,2026-06-16,2026-06-16,REF43264,REF43264,CHQ2606,CHQ2606,Duplicate
Vendor Payment,Vendor Payment,53911,53921,2026-06-13,2026-06-14,REF51146,REF51146,CHQ8913,CHQ8913,Fuzzy Matched
Bank Charges,Bank Charges,32993,32986,2026-06-27,2026-06-28,REF35081,REF35081,CHQ8154,CHQ8154,Fuzzy Matched
Professional Fees,Professional Fees,40162,-40162,2026-06-27,2026-06-27,REF37626,REF37626,CHQ8639,CHQ8639,Reversal Entry
Bank Charges,Unknown Transaction,54954,219816,2026-06-07,2026-06-07,REF52705,REF52705,CHQ8559,CHQ8559,Suspicious
Customer Receipt,Customer Receipt,97045,97045,2026-06-06,2026-06-06,REF10921,REF10921,CHQ8305,CHQ8305,Matched
Vendor Payment,Unknown Transaction,9033,45165,2026-06-21,2026-06-21,REF69948,REF69948,CHQ6008,CHQ6008,Suspicious
GST Payment,GST Payment,23223,23225,2026-06-05,2026-06-08,REF30498,REF30498,CHQ2802,CHQ2802,Fuzzy Matched
Bank Charges,Bank Charges,90147,-90147,2026-06-30,2026-06-30,REF39253,REF39253,CHQ7024,CHQ7024,Reversal Entry
Bank Charges,Bank Charges,58420,58420,2026-06-15,2026-06-15,REF28595,REF28595,CHQ4137,CHQ4137,Matched
Customer Receipt,Customer Receipt,60763,60773,2026-06-15,2026-06-17,REF73125,REF73125,CHQ5673,CHQ5673,Fuzzy Matched
Bank Charges,Bank Charges,15095,-15095,2026-06-22,2026-06-22,REF69841,REF69841,CHQ8928,CHQ8928,Reversal Entry
Bank Charges,Bank Charges,51197,51198,2026-06-08,2026-06-11,REF72931,REF72931,CHQ3615,CHQ3615,Fuzzy Matched
Customer Receipt,Customer Receipt,97632,97632,2026-06-25,2026-06-25,REF91222,REF91222,CHQ1858,CHQ1858,Duplicate
Salary Payment,Salary Payment,13545,13545,2026-06-26,2026-06-26,REF37368,REF37368,CHQ7975,CHQ7975,Duplicate
Fuel Expense,Fuel Expense,51818,51818,2026-06-14,2026-06-14,REF78068,REF78068,CHQ7436,CHQ7436,Duplicate
Customer Receipt,Not Available,87086,0,2026-06-09,2026-06-09,REF49126,NA,CHQ4144,NA,Missing Entry
Software Subscription,Unknown Transaction,59232,118464,2026-06-20,2026-06-20,REF13803,REF13803,CHQ9776,CHQ9776,Suspicious
Professional Fees,Professional Fees,74013,74013,2026-06-12,2026-06-12,REF32883,REF32883,CHQ4553,CHQ4553,Duplicate
Customer Receipt,Customer Receipt,31917,31917,2026-06-26,2026-06-26,REF97240,REF97240,CHQ7681,CHQ7681,Matched
Professional Fees,Not Available,16808,0,2026-06-27,2026-06-27,REF41767,NA,CHQ6496,NA,Missing Entry
Customer Receipt,Customer Receipt,92537,92537,2026-06-08,2026-06-08,REF36122,REF36122,CHQ3553,CHQ3553,Matched
Customer Receipt,Customer Receipt,32644,32636,2026-06-27,2026-06-30,REF70617,REF70617,CHQ7752,CHQ7752,Fuzzy Matched
Electricity Bill,Electricity Bill,94118,94118,2026-06-29,2026-06-29,REF47245,REF47245,CHQ1216,CHQ1216,Matched
Office Rent,Not Available,21117,0,2026-06-30,2026-06-30,REF97489,NA,CHQ4161,NA,Missing Entry
Electricity Bill,Electricity Bill,38918,-38918,2026-06-22,2026-06-22,REF77752,REF77752,CHQ4741,CHQ4741,Reversal Entry
Customer Receipt,Customer Receipt,2914,2914,2026-06-12,2026-06-12,REF47300,REF47300,CHQ9158,CHQ9158,Matched
Software Subscription,Software Subscription,44622,44622,2026-06-17,2026-06-17,REF55896,REF55896,CHQ5199,CHQ5199,Matched
