Book_Description,Bank_Description,Book_Amount,Bank_Amount,Book_Date,Bank_Date,Book_Reference,Bank_Reference,Book_Cheque,Bank_Cheque,Status
GST Payment,GST Challan,421760,421760,2026-02-17,2026-02-17,REF819536,REF819536,CHQ6787,CHQ6787,Probable Match
Salary Payment,NEFT Salary Transfer,192848,192848,2026-04-11,2026-04-18,REF609895,REF609895,CHQ6129,CHQ6129,Date Difference
Salary Payment,NEFT Salary Transfer,439031,439031,2026-06-12,2026-06-12,REF686386,REF686386,NA,NA,Probable Match
Advertising Expense,Marketing Expense,209483,209483,2026-01-29,2026-02-04,REF988054,REF988054,NA,NA,Date Difference
Insurance Premium,Insurance Debit,482222,482222,2026-02-04,2026-02-04,REF889216,REF889216,NA,NA,Matched
Vendor Payment,Vendor Transfer,82596,82596,2026-03-06,2026-03-06,REF924439,REF924439,CHQ2255,CHQ5116,Cheque Mismatch
Salary Payment,NEFT Salary Transfer,369515,373172,2026-06-11,2026-06-11,REF739071,REF739071,NA,NA,Amount Mismatch
Office Rent,Rent Transfer,141099,141099,2026-03-11,2026-03-11,REF320727,REF320727,NA,NA,Matched
Fuel Expense,Fuel Card Payment,256086,256086,2026-02-09,2026-02-09,REF225570,REF225570,NA,NA,Probable Match
GST Payment,GST Challan,257504,257504,2026-03-16,2026-03-16,REF282724,REF282724,CHQ4377,CHQ4377,Matched
Salary Payment,NEFT Salary Transfer,293698,293698,2026-04-03,2026-04-03,REF244150,REF244150,NA,NA,Matched
Software Subscription,Software Auto Debit,67126,67126,2026-05-17,2026-05-17,REF700287,REF700287,NA,NA,Probable Match
Loan EMI,EMI Debit,88651,88651,2026-04-15,2026-04-15,REF388100,REF388100,NA,NA,Matched
Fuel Expense,Fuel Card Payment,108094,108094,2026-03-04,2026-03-23,REF208186,REF208186,NA,NA,Date Difference
Travel Expense,Travel Reimbursement,398181,398937,2026-03-16,2026-03-16,REF159017,REF159017,CHQ2874,CHQ2874,Amount Mismatch
Travel Expense,Travel Reimbursement,468886,468886,2026-02-09,2026-02-21,REF113322,REF113322,CHQ6676,CHQ6676,Date Difference
Customer Receipt,Customer Credit,370090,372541,2026-06-23,2026-06-23,REF692924,REF692924,NA,NA,Amount Mismatch
Salary Payment,NEFT Salary Transfer,378578,378578,2026-04-24,2026-04-24,REF877475,REF877475,NA,NA,Matched
Software Subscription,Software Auto Debit,422898,422898,2026-04-05,2026-04-05,REF278144,REF980694,CHQ8457,CHQ8457,Reference Mismatch
Loan EMI,EMI Debit,249948,249948,2026-03-09,2026-03-09,REF438792,REF438792,CHQ3508,CHQ3508,Matched
Internet Expense,Internet Payment,126593,126593,2026-03-26,2026-03-26,REF975468,REF975468,CHQ4559,CHQ4559,Matched
Customer Receipt,Customer Credit,464549,464549,2026-05-14,2026-05-14,REF918596,REF918596,CHQ8433,CHQ8433,Matched
Fuel Expense,Fuel Card Payment,300719,300719,2026-05-11,2026-05-11,REF854158,REF854158,CHQ6126,CHQ6126,Matched
Travel Expense,Travel Reimbursement,80826,80826,2026-01-15,2026-01-15,REF352208,REF352208,NA,NA,Matched
Software Subscription,Software Auto Debit,333715,336761,2026-02-08,2026-02-08,REF486655,REF486655,NA,NA,Amount Mismatch
Bank Charges,Bank Service Charge,25135,25135,2026-01-22,2026-01-22,REF203600,REF203600,NA,NA,Matched
Fuel Expense,Fuel Card Payment,85491,85491,2026-06-21,2026-06-21,REF953825,REF953825,NA,NA,Matched
Professional Fees,Consultancy Payment,63715,63715,2026-06-03,2026-06-03,REF473186,REF473186,CHQ7513,CHQ7513,Matched
Office Rent,Rent Transfer,51551,51551,2026-06-03,2026-06-03,REF221964,REF221964,CHQ8147,CHQ8147,Unmatched
Professional Fees,Consultancy Payment,30697,30697,2026-03-29,2026-03-29,REF677860,REF677860,CHQ8928,CHQ8928,Matched
Internet Expense,Internet Payment,163515,163515,2026-02-28,2026-03-11,REF768303,REF768303,NA,NA,Date Difference
Internet Expense,Internet Payment,282043,282043,2026-03-25,2026-03-25,REF369165,REF369165,NA,NA,Matched
Travel Expense,Travel Reimbursement,476519,476519,2026-05-11,2026-05-11,REF638188,REF638188,CHQ1826,CHQ1826,Probable Match
Advertising Expense,Marketing Expense,130543,130543,2026-01-07,2026-01-07,REF376317,REF376317,CHQ7881,CHQ7881,Matched
Customer Receipt,Customer Credit,87793,87793,2026-04-01,2026-04-01,REF981881,REF981881,CHQ2380,CHQ2380,Matched
Office Rent,Rent Transfer,143688,143688,2026-05-29,2026-05-29,REF470159,REF470159,NA,NA,Matched
Advertising Expense,Marketing Expense,423590,423590,2026-04-28,2026-04-28,REF721374,REF721374,CHQ7418,CHQ7418,Matched
Office Rent,Rent Transfer,458225,458225,2026-04-13,2026-04-13,REF168671,REF168671,CHQ5081,CHQ5081,Matched
Insurance Premium,Insurance Debit,16697,16697,2026-06-04,2026-06-04,REF469833,REF469833,CHQ6808,CHQ2638,Cheque Mismatch
Customer Receipt,Customer Credit,375778,375778,2026-04-18,2026-04-26,REF242968,REF242968,NA,NA,Date Difference
Professional Fees,Consultancy Payment,274732,274732,2026-03-07,2026-03-07,REF645885,REF347900,CHQ6584,CHQ6584,Reference Mismatch
Vendor Payment,Vendor Transfer,8363,8363,2026-05-21,2026-05-21,REF228382,REF228382,CHQ6711,CHQ6711,Probable Match
Loan EMI,EMI Debit,286649,286649,2026-02-03,2026-02-03,REF352860,REF352860,NA,NA,Matched
Salary Payment,NEFT Salary Transfer,109559,109559,2026-05-15,2026-05-15,REF176250,REF176250,CHQ5166,CHQ5166,Matched
Advertising Expense,Marketing Expense,177932,177932,2026-02-12,2026-02-12,REF418789,REF418789,CHQ5113,CHQ5113,Matched
Salary Payment,NEFT Salary Transfer,73994,73994,2026-03-26,2026-03-26,REF438509,REF438509,NA,NA,Probable Match
Office Rent,Rent Transfer,222752,222752,2026-03-03,2026-03-03,REF883095,REF883095,CHQ2754,CHQ2754,Matched
Customer Receipt,Customer Credit,488369,488369,2026-02-18,2026-03-01,REF576536,REF576536,CHQ7847,CHQ7847,Date Difference
Fuel Expense,Fuel Card Payment,110912,110912,2026-01-04,2026-01-04,REF844555,REF844555,CHQ3312,CHQ3312,Probable Match
Loan EMI,EMI Debit,7062,7062,2026-04-25,2026-04-25,REF224730,REF224730,CHQ3399,CHQ3399,Matched
Bank Charges,Bank Service Charge,80392,80392,2026-01-24,2026-01-24,REF792218,REF792218,NA,NA,Matched
Advertising Expense,Marketing Expense,170643,170643,2026-04-24,2026-04-24,REF399910,REF399910,NA,CHQ9902,Cheque Mismatch
Salary Payment,NEFT Salary Transfer,451053,451053,2026-06-28,2026-06-28,REF461816,REF461816,CHQ8696,CHQ8696,Matched
Bank Charges,Bank Service Charge,66181,66181,2026-03-31,2026-04-15,REF345517,REF345517,CHQ6396,CHQ6396,Date Difference
Electricity Bill,Electricity Payment,376160,376160,2026-04-09,2026-04-09,REF945140,REF228971,CHQ5352,CHQ5352,Reference Mismatch
Fuel Expense,Fuel Card Payment,451723,451723,2026-05-09,2026-05-09,REF639956,REF260375,NA,NA,Reference Mismatch
Bank Charges,Bank Service Charge,449276,449276,2026-06-28,2026-06-28,REF208450,REF208450,NA,NA,Matched
Insurance Premium,Insurance Debit,126662,126662,2026-06-28,2026-06-28,REF777054,REF777054,NA,NA,Matched
Professional Fees,Consultancy Payment,341085,341085,2026-04-05,2026-04-05,REF584041,REF584041,NA,NA,Matched
Electricity Bill,Electricity Payment,45299,45299,2026-04-19,2026-04-19,REF760091,REF760091,CHQ2837,CHQ2837,Matched
Electricity Bill,Electricity Payment,270370,270370,2026-03-14,2026-03-14,REF111833,REF111833,NA,CHQ1104,Cheque Mismatch
Software Subscription,Software Auto Debit,278467,278467,2026-04-09,2026-04-09,REF647516,REF647516,NA,NA,Matched
Customer Receipt,Customer Credit,155513,155513,2026-06-27,2026-06-27,REF626864,REF626864,NA,NA,Matched
Insurance Premium,Insurance Debit,416460,416460,2026-06-20,2026-06-20,REF179589,REF179589,CHQ1769,CHQ1769,Matched
GST Payment,GST Challan,209434,209434,2026-06-14,2026-07-01,REF449846,REF449846,CHQ6401,CHQ6401,Date Difference
Insurance Premium,Insurance Debit,257836,257836,2026-04-01,2026-04-01,REF684508,REF684508,CHQ3485,CHQ3485,Matched
Internet Expense,Internet Payment,63430,63430,2026-03-07,2026-03-07,REF403003,REF403003,NA,NA,Matched
Fuel Expense,Fuel Card Payment,283615,283615,2026-05-08,2026-05-08,REF764078,REF764078,NA,NA,Matched
Professional Fees,Consultancy Payment,124643,124643,2026-05-06,2026-05-06,REF185974,REF185974,CHQ5105,CHQ5105,Matched
Vendor Payment,Vendor Transfer,201963,201963,2026-02-02,2026-02-02,REF767689,REF767689,NA,NA,Matched
GST Payment,GST Challan,17742,20748,2026-06-11,2026-06-11,REF322027,REF322027,NA,NA,Amount Mismatch
Electricity Bill,Electricity Payment,44133,44133,2026-04-06,2026-04-06,REF990366,REF990366,NA,NA,Matched
Salary Payment,NEFT Salary Transfer,421008,421008,2026-02-25,2026-02-25,REF687990,REF687990,NA,NA,Matched
Electricity Bill,Electricity Payment,364060,364060,2026-02-04,2026-02-04,REF472427,REF472427,CHQ9520,CHQ9520,Matched
Bank Charges,Bank Service Charge,30951,30951,2026-01-26,2026-01-26,REF210969,REF210969,CHQ7019,CHQ7019,Matched
Internet Expense,Internet Payment,462647,462647,2026-05-01,2026-05-18,REF273989,REF273989,CHQ4615,CHQ4615,Date Difference
Insurance Premium,Insurance Debit,486271,486271,2026-01-17,2026-01-17,REF192395,REF192395,NA,NA,Matched
Internet Expense,Internet Payment,78542,78542,2026-06-16,2026-06-16,REF960150,REF960150,NA,NA,Matched
Electricity Bill,Electricity Payment,43671,43671,2026-03-19,2026-03-19,REF192649,REF192649,CHQ2656,CHQ2656,Matched
Insurance Premium,Insurance Debit,407229,407229,2026-05-18,2026-05-18,REF147168,REF147168,CHQ8470,CHQ8470,Matched
Advertising Expense,Marketing Expense,374662,374662,2026-01-29,2026-01-29,REF993941,REF993941,CHQ1781,CHQ1781,Unmatched
Bank Charges,Bank Service Charge,212879,215438,2026-04-04,2026-04-04,REF254339,REF254339,CHQ3919,CHQ3919,Amount Mismatch
Vendor Payment,Vendor Transfer,60731,60731,2026-04-26,2026-04-26,REF280995,REF280995,CHQ6041,CHQ6041,Matched
Travel Expense,Travel Reimbursement,95029,95029,2026-06-17,2026-06-17,REF685035,REF685035,NA,NA,Matched
Customer Receipt,Customer Credit,291443,291443,2026-02-03,2026-02-03,REF250908,REF250908,CHQ8373,CHQ8373,Matched
Office Rent,Rent Transfer,422957,422957,2026-05-22,2026-05-22,REF370378,REF370378,NA,NA,Unmatched
Loan EMI,EMI Debit,269058,269058,2026-03-05,2026-03-05,REF840508,REF840508,NA,NA,Matched
Insurance Premium,Insurance Debit,423620,423620,2026-06-19,2026-06-19,REF346020,REF346020,CHQ4296,CHQ4296,Matched
Vendor Payment,Vendor Transfer,386324,386324,2026-04-12,2026-04-12,REF625081,REF625081,NA,NA,Matched
Professional Fees,Consultancy Payment,247902,247902,2026-03-23,2026-03-23,REF146088,REF146088,NA,NA,Matched
Fuel Expense,Fuel Card Payment,483535,483535,2026-02-28,2026-02-28,REF147026,REF147026,NA,NA,Matched
Customer Receipt,Customer Credit,165058,165058,2026-06-18,2026-06-18,REF440149,REF440149,CHQ4598,CHQ4598,Unmatched
Bank Charges,Bank Service Charge,194969,194969,2026-04-15,2026-04-15,REF632698,REF632698,NA,NA,Unmatched
Insurance Premium,Insurance Debit,241110,241110,2026-01-22,2026-01-22,REF608385,REF608385,CHQ7641,CHQ7641,Matched
Fuel Expense,Fuel Card Payment,490557,490557,2026-01-07,2026-01-07,REF257085,REF257085,NA,NA,Matched
Bank Charges,Bank Service Charge,495811,499436,2026-02-02,2026-02-02,REF415529,REF415529,CHQ7190,CHQ7190,Amount Mismatch
Vendor Payment,Vendor Transfer,207155,207155,2026-05-02,2026-05-02,REF643442,REF643442,CHQ4511,CHQ4511,Matched
Advertising Expense,Marketing Expense,318419,318419,2026-04-30,2026-04-30,REF363382,REF363382,CHQ4670,CHQ4670,Matched
Insurance Premium,Insurance Debit,474744,474744,2026-01-01,2026-01-01,REF672839,REF672839,NA,NA,Matched
Bank Charges,Bank Service Charge,258526,258526,2026-01-19,2026-01-19,REF202478,REF202478,CHQ7193,CHQ7193,Unmatched
Customer Receipt,Customer Credit,476336,476336,2026-05-07,2026-05-07,REF984368,REF984368,NA,NA,Probable Match
Internet Expense,Internet Payment,214306,214306,2026-06-09,2026-06-09,REF397118,REF397118,NA,NA,Matched
Office Rent,Rent Transfer,373875,373875,2026-01-13,2026-01-13,REF741854,REF741854,NA,NA,Matched
GST Payment,GST Challan,207520,207520,2026-02-07,2026-02-07,REF259931,REF259931,CHQ1630,CHQ1630,Matched
Bank Charges,Bank Service Charge,115296,115296,2026-05-13,2026-05-13,REF872734,REF872734,CHQ2206,CHQ2206,Matched
Loan EMI,EMI Debit,336141,336141,2026-05-06,2026-05-06,REF734506,REF734506,CHQ8362,CHQ8362,Matched
Professional Fees,Consultancy Payment,81794,81794,2026-01-17,2026-01-17,REF151783,REF151783,NA,NA,Probable Match
Salary Payment,NEFT Salary Transfer,82049,82049,2026-01-06,2026-01-06,REF181264,REF181264,CHQ7020,CHQ5197,Cheque Mismatch
Electricity Bill,Electricity Payment,389330,389330,2026-03-21,2026-03-21,REF712533,REF712533,NA,NA,Matched
Bank Charges,Bank Service Charge,181415,181415,2026-05-21,2026-05-21,REF308307,REF308307,NA,NA,Matched
Salary Payment,NEFT Salary Transfer,122892,122892,2026-05-17,2026-05-17,REF574706,REF574706,NA,NA,Matched
Advertising Expense,Marketing Expense,357656,357656,2026-02-01,2026-02-01,REF644939,REF644939,NA,NA,Matched
Customer Receipt,Customer Credit,59230,59230,2026-05-14,2026-05-14,REF469864,REF469864,CHQ4611,CHQ4904,Cheque Mismatch
Software Subscription,Software Auto Debit,243605,243605,2026-04-14,2026-04-14,REF335685,REF221831,NA,NA,Reference Mismatch
Travel Expense,Travel Reimbursement,251525,251525,2026-02-21,2026-02-21,REF280846,REF280846,NA,NA,Unmatched
Professional Fees,Consultancy Payment,451732,451732,2026-03-07,2026-03-07,REF860168,REF860168,NA,NA,Matched
Internet Expense,Internet Payment,241824,241824,2026-04-15,2026-04-24,REF397193,REF397193,CHQ3509,CHQ3509,Date Difference
Professional Fees,Consultancy Payment,181954,181954,2026-02-22,2026-02-22,REF850457,REF850457,CHQ5052,CHQ5052,Matched
Vendor Payment,Vendor Transfer,380407,380407,2026-05-10,2026-05-10,REF852320,REF852320,CHQ1617,CHQ1617,Matched
Professional Fees,Consultancy Payment,441444,441444,2026-05-25,2026-05-25,REF939045,REF939045,CHQ3381,CHQ3381,Probable Match
Salary Payment,NEFT Salary Transfer,493803,493803,2026-04-05,2026-04-05,REF253073,REF253073,CHQ1445,CHQ1445,Matched
Customer Receipt,Customer Credit,288931,288931,2026-04-13,2026-04-13,REF869593,REF869593,NA,NA,Matched
Loan EMI,EMI Debit,1982,1982,2026-05-14,2026-05-14,REF884951,REF884951,NA,NA,Unmatched
Insurance Premium,Insurance Debit,105826,105826,2026-05-08,2026-05-08,REF146270,REF146270,CHQ1751,CHQ1751,Unmatched
Customer Receipt,Customer Credit,414207,414207,2026-02-20,2026-02-20,REF444274,REF444274,CHQ2038,CHQ2038,Matched
Office Rent,Rent Transfer,189519,189519,2026-01-22,2026-01-22,REF893582,REF893582,CHQ3468,CHQ3468,Matched
Software Subscription,Software Auto Debit,271662,271662,2026-05-18,2026-05-18,REF364062,REF615057,CHQ1452,CHQ1452,Reference Mismatch
Loan EMI,EMI Debit,253308,258137,2026-01-08,2026-01-08,REF151041,REF151041,NA,NA,Amount Mismatch
Software Subscription,Software Auto Debit,466844,466844,2026-04-02,2026-04-02,REF627252,REF627252,CHQ3800,CHQ3800,Matched
Customer Receipt,Customer Credit,443791,443791,2026-04-22,2026-04-22,REF479583,REF479583,NA,NA,Matched
Bank Charges,Bank Service Charge,98782,98782,2026-04-13,2026-04-13,REF721985,REF721985,NA,NA,Matched
Vendor Payment,Vendor Transfer,181336,181336,2026-04-12,2026-04-12,REF567488,REF567488,CHQ7273,CHQ7273,Matched
GST Payment,GST Challan,169718,169718,2026-06-29,2026-06-29,REF303285,REF303285,CHQ7182,CHQ7182,Matched
Salary Payment,NEFT Salary Transfer,421179,421179,2026-06-03,2026-06-03,REF774644,REF774644,CHQ3123,CHQ3123,Matched
Salary Payment,NEFT Salary Transfer,122635,122635,2026-02-12,2026-02-12,REF769243,REF526414,NA,NA,Reference Mismatch
Travel Expense,Travel Reimbursement,475896,475896,2026-02-04,2026-02-04,REF673502,REF673502,CHQ3426,CHQ3426,Matched
Travel Expense,Travel Reimbursement,377626,377626,2026-04-13,2026-04-13,REF114860,REF114860,CHQ4560,CHQ4560,Matched
Loan EMI,EMI Debit,12775,12775,2026-01-01,2026-01-01,REF332065,REF332065,CHQ2778,CHQ2778,Matched
Software Subscription,Software Auto Debit,239679,239679,2026-03-23,2026-03-23,REF871495,REF871495,CHQ6642,CHQ6642,Probable Match
Vendor Payment,Vendor Transfer,87077,87077,2026-03-19,2026-03-19,REF863795,REF437316,CHQ7737,CHQ7737,Reference Mismatch
Vendor Payment,Vendor Transfer,150260,150260,2026-01-28,2026-01-28,REF747703,REF620816,CHQ7739,CHQ7739,Reference Mismatch
Salary Payment,NEFT Salary Transfer,32425,32425,2026-04-26,2026-04-26,REF428387,REF428387,CHQ3978,CHQ3978,Matched
Vendor Payment,Vendor Transfer,3455,3455,2026-01-18,2026-01-18,REF919362,REF919362,NA,NA,Matched
Travel Expense,Travel Reimbursement,235935,235935,2026-05-29,2026-05-29,REF599910,REF599910,NA,NA,Matched
GST Payment,GST Challan,434612,434612,2026-02-08,2026-02-08,REF293007,REF293007,NA,NA,Matched
GST Payment,GST Challan,281549,281549,2026-03-03,2026-03-03,REF851117,REF851117,CHQ3476,CHQ3476,Matched
Office Rent,Rent Transfer,281957,281957,2026-04-09,2026-04-09,REF526335,REF526335,NA,NA,Unmatched
Professional Fees,Consultancy Payment,94271,94271,2026-06-17,2026-06-17,REF241264,REF241264,CHQ6846,CHQ6846,Probable Match
Electricity Bill,Electricity Payment,423319,423319,2026-06-19,2026-06-19,REF241414,REF241414,NA,NA,Matched
Internet Expense,Internet Payment,82225,82225,2026-05-20,2026-05-20,REF545113,REF545113,NA,NA,Matched
Electricity Bill,Electricity Payment,442980,442980,2026-04-07,2026-04-07,REF439411,REF439411,CHQ6439,CHQ6439,Matched
Loan EMI,EMI Debit,316762,316762,2026-01-22,2026-01-22,REF567064,REF567064,CHQ4255,CHQ4255,Matched
GST Payment,GST Challan,142792,142792,2026-01-25,2026-01-25,REF516198,REF516198,NA,NA,Matched
Software Subscription,Software Auto Debit,97052,97052,2026-06-15,2026-06-15,REF874275,REF508651,CHQ1625,CHQ1625,Reference Mismatch
Internet Expense,Internet Payment,51865,51865,2026-05-15,2026-05-15,REF102391,REF102391,NA,NA,Matched
Travel Expense,Travel Reimbursement,210963,210963,2026-06-29,2026-06-29,REF118181,REF118181,CHQ1171,CHQ1171,Matched
Travel Expense,Travel Reimbursement,219531,219531,2026-02-03,2026-02-03,REF785969,REF785969,CHQ7365,CHQ7365,Matched
Bank Charges,Bank Service Charge,388149,388149,2026-03-17,2026-03-17,REF718038,REF718038,NA,NA,Matched
Insurance Premium,Insurance Debit,371413,371413,2026-02-19,2026-02-19,REF512463,REF512463,CHQ8974,CHQ8974,Matched
Professional Fees,Consultancy Payment,287538,287538,2026-06-09,2026-06-09,REF573227,REF573227,CHQ4111,CHQ4111,Matched
Professional Fees,Consultancy Payment,29022,29022,2026-03-31,2026-03-31,REF456441,REF456441,CHQ1791,CHQ1791,Matched
Fuel Expense,Fuel Card Payment,279099,279099,2026-03-17,2026-03-17,REF901926,REF901926,CHQ8514,CHQ8514,Matched
Bank Charges,Bank Service Charge,190559,190559,2026-01-02,2026-01-02,REF523525,REF523525,NA,NA,Matched
Customer Receipt,Customer Credit,180607,180607,2026-04-14,2026-04-14,REF107830,REF107830,CHQ7805,CHQ7805,Matched
Advertising Expense,Marketing Expense,90795,90795,2026-04-03,2026-04-03,REF454817,REF454817,NA,NA,Matched
Advertising Expense,Marketing Expense,96526,96526,2026-05-10,2026-05-10,REF427269,REF427269,NA,NA,Matched
Office Rent,Rent Transfer,106963,106963,2026-05-18,2026-06-03,REF251461,REF251461,NA,NA,Date Difference
Salary Payment,NEFT Salary Transfer,494097,494097,2026-05-23,2026-05-23,REF631153,REF631153,CHQ5283,CHQ5283,Matched
Professional Fees,Consultancy Payment,117996,117996,2026-05-04,2026-05-04,REF325345,REF325345,CHQ6015,CHQ6015,Unmatched
Loan EMI,EMI Debit,163778,163778,2026-05-28,2026-05-28,REF532131,REF532131,CHQ4256,CHQ4256,Matched
Fuel Expense,Fuel Card Payment,25185,25185,2026-01-18,2026-01-18,REF527399,REF527399,CHQ1728,CHQ1728,Matched
Electricity Bill,Electricity Payment,420768,420768,2026-05-12,2026-05-12,REF128964,REF128964,NA,NA,Matched
Travel Expense,Travel Reimbursement,361093,361093,2026-02-11,2026-02-11,REF140006,REF140006,NA,NA,Matched
Bank Charges,Bank Service Charge,110900,110900,2026-06-19,2026-06-19,REF130492,REF130492,CHQ5814,CHQ5814,Matched
Fuel Expense,Fuel Card Payment,79714,79714,2026-04-03,2026-04-03,REF971207,REF971207,CHQ4214,CHQ4214,Probable Match
Internet Expense,Internet Payment,448966,448966,2026-04-17,2026-04-17,REF783548,REF783548,NA,NA,Matched
Internet Expense,Internet Payment,200363,200363,2026-03-22,2026-03-22,REF923155,REF923155,NA,NA,Matched
Bank Charges,Bank Service Charge,101522,101522,2026-01-11,2026-01-11,REF326190,REF326190,CHQ8271,CHQ8271,Matched
Professional Fees,Consultancy Payment,319795,319795,2026-01-15,2026-01-15,REF853967,REF853967,NA,NA,Matched
Insurance Premium,Insurance Debit,429816,429816,2026-06-29,2026-06-29,REF931241,REF931241,NA,NA,Matched
Fuel Expense,Fuel Card Payment,326305,326305,2026-04-28,2026-04-28,REF392013,REF392013,CHQ6919,CHQ6919,Matched
Vendor Payment,Vendor Transfer,415593,415593,2026-03-29,2026-03-29,REF545902,REF545902,CHQ7877,CHQ7877,Matched
Electricity Bill,Electricity Payment,233281,233281,2026-01-03,2026-01-03,REF170276,REF170276,NA,NA,Matched
Bank Charges,Bank Service Charge,453147,453147,2026-01-25,2026-01-25,REF949750,REF949750,CHQ1086,CHQ1086,Matched
Customer Receipt,Customer Credit,435042,435042,2026-05-19,2026-06-03,REF888979,REF888979,NA,NA,Date Difference
Bank Charges,Bank Service Charge,494891,494891,2026-04-01,2026-04-01,REF465949,REF303541,CHQ3277,CHQ3277,Reference Mismatch
Loan EMI,EMI Debit,440669,440669,2026-05-23,2026-05-23,REF285928,REF285928,NA,NA,Matched
Insurance Premium,Insurance Debit,314197,314197,2026-03-23,2026-03-23,REF430355,REF430355,CHQ7247,CHQ7247,Probable Match
Travel Expense,Travel Reimbursement,186654,189207,2026-03-12,2026-03-12,REF816641,REF816641,CHQ5132,CHQ5132,Amount Mismatch
Electricity Bill,Electricity Payment,22074,22074,2026-05-31,2026-05-31,REF585382,REF585382,NA,NA,Matched
Insurance Premium,Insurance Debit,129484,129484,2026-04-08,2026-04-08,REF530630,REF530630,NA,NA,Matched
Office Rent,Rent Transfer,191946,191946,2026-04-24,2026-04-24,REF147955,REF147955,CHQ8418,CHQ8418,Matched
Travel Expense,Travel Reimbursement,51653,51653,2026-04-02,2026-04-02,REF336433,REF336433,CHQ7630,CHQ7630,Matched
Office Rent,Rent Transfer,366030,366030,2026-03-25,2026-03-25,REF824929,REF824929,NA,NA,Matched
Electricity Bill,Electricity Payment,346256,346256,2026-04-09,2026-04-09,REF838660,REF838660,CHQ2860,CHQ2860,Matched
Office Rent,Rent Transfer,297591,297591,2026-06-20,2026-06-20,REF760212,REF760212,CHQ9038,CHQ9038,Matched
Travel Expense,Travel Reimbursement,116344,116344,2026-05-09,2026-05-09,REF455849,REF455849,CHQ9222,CHQ9222,Matched
Salary Payment,NEFT Salary Transfer,455042,455042,2026-03-27,2026-03-27,REF245697,REF245697,NA,NA,Matched
Customer Receipt,Customer Credit,207219,207219,2026-01-30,2026-01-30,REF880524,REF880524,NA,NA,Matched
Professional Fees,Consultancy Payment,80269,80269,2026-05-09,2026-05-09,REF349370,REF349370,NA,NA,Probable Match
Loan EMI,EMI Debit,234186,234186,2026-03-25,2026-03-25,REF229255,REF229255,NA,NA,Matched
Insurance Premium,Insurance Debit,454423,454423,2026-02-06,2026-02-06,REF316446,REF316446,CHQ9340,CHQ9340,Matched
Vendor Payment,Vendor Transfer,207023,207023,2026-01-23,2026-01-23,REF179806,REF179806,CHQ8570,CHQ8570,Matched
Customer Receipt,Customer Credit,295196,295196,2026-03-12,2026-03-12,REF250323,REF250323,CHQ6542,CHQ6542,Matched
Electricity Bill,Electricity Payment,104256,104256,2026-04-10,2026-04-10,REF970643,REF970643,CHQ9758,CHQ9758,Matched
GST Payment,GST Challan,77622,77622,2026-01-10,2026-01-10,REF538191,REF538191,NA,NA,Matched
Software Subscription,Software Auto Debit,284872,284872,2026-01-20,2026-01-20,REF558306,REF558306,CHQ1431,CHQ1431,Unmatched
Bank Charges,Bank Service Charge,23483,23483,2026-03-30,2026-03-30,REF930248,REF930248,NA,NA,Matched
Vendor Payment,Vendor Transfer,184041,184041,2026-06-18,2026-06-18,REF141331,REF141331,CHQ3438,CHQ3438,Matched
Internet Expense,Internet Payment,155879,155879,2026-03-29,2026-03-29,REF745759,REF745759,NA,NA,Probable Match
Loan EMI,EMI Debit,414432,414432,2026-03-10,2026-03-10,REF745160,REF745160,CHQ5613,CHQ5613,Probable Match
Travel Expense,Travel Reimbursement,482933,482933,2026-06-03,2026-06-03,REF855041,REF855041,NA,NA,Matched
Insurance Premium,Insurance Debit,408299,408299,2026-06-12,2026-06-12,REF718266,REF718266,NA,NA,Unmatched
Vendor Payment,Vendor Transfer,228752,228752,2026-06-02,2026-06-02,REF189457,REF189457,NA,NA,Matched
Vendor Payment,Vendor Transfer,371574,371574,2026-03-02,2026-03-02,REF262393,REF262393,NA,NA,Matched
Software Subscription,Software Auto Debit,354512,354512,2026-06-09,2026-06-09,REF561391,REF438072,CHQ3566,CHQ3566,Reference Mismatch
Bank Charges,Bank Service Charge,14578,14578,2026-01-15,2026-01-15,REF705160,REF994536,CHQ4643,CHQ4643,Reference Mismatch
Travel Expense,Travel Reimbursement,127261,127261,2026-03-13,2026-03-13,REF977722,REF977722,CHQ9157,CHQ9157,Matched
Salary Payment,NEFT Salary Transfer,296033,296033,2026-03-06,2026-03-06,REF782897,REF782897,NA,CHQ6220,Cheque Mismatch
Bank Charges,Bank Service Charge,398028,398028,2026-05-30,2026-05-30,REF338673,REF338673,NA,NA,Matched
Loan EMI,EMI Debit,256427,256427,2026-04-25,2026-04-25,REF313490,REF313490,CHQ6536,CHQ6536,Matched
Fuel Expense,Fuel Card Payment,283053,283053,2026-05-14,2026-05-19,REF575497,REF575497,NA,NA,Date Difference
Travel Expense,Travel Reimbursement,213391,213391,2026-03-21,2026-03-21,REF421516,REF979385,CHQ2406,CHQ2406,Reference Mismatch
Customer Receipt,Customer Credit,98608,98608,2026-06-30,2026-07-20,REF375334,REF375334,CHQ6118,CHQ6118,Date Difference
Loan EMI,EMI Debit,106153,110176,2026-03-17,2026-03-17,REF749758,REF749758,NA,NA,Amount Mismatch
Software Subscription,Software Auto Debit,85980,85980,2026-03-13,2026-03-13,REF117003,REF117003,NA,NA,Matched
Electricity Bill,Electricity Payment,257242,257242,2026-01-25,2026-01-25,REF751871,REF751871,NA,NA,Matched
