Agency_ID,Guard_ID,State,Document_Name,Document_Status,Training_Completed,Police_Verified,Medical_Fit,Expiry_Days_Left,Risk_Level
AGENCY_8953,GUARD_98685,Rajasthan,EPF Registration,Submitted,Yes,Yes,No,141,Low Risk
AGENCY_4178,GUARD_60002,Punjab,Employment Contract,Expired,No,No,Yes,229,High Risk
AGENCY_6608,GUARD_84322,Rajasthan,GST Certificate,Expired,No,No,Yes,201,High Risk
AGENCY_5480,GUARD_16437,Delhi,GST Certificate,Verified,No,No,Yes,281,High Risk
AGENCY_6799,GUARD_78879,Rajasthan,Medical Fitness,Verified,Yes,Yes,No,140,Low Risk
AGENCY_4959,GUARD_18539,Punjab,PAN Card,Expired,Yes,No,Yes,262,High Risk
AGENCY_8194,GUARD_31421,Punjab,Police Verification,Expired,No,No,No,167,High Risk
AGENCY_7995,GUARD_19980,Uttar Pradesh,Shop Act License,Verified,No,Yes,No,288,High Risk
AGENCY_2534,GUARD_57948,Punjab,Affidavit,Verified,Yes,Yes,Yes,219,Low Risk
AGENCY_3923,GUARD_25770,Uttar Pradesh,PAN Card,Submitted,Yes,Yes,No,243,Low Risk
AGENCY_6390,GUARD_12113,Punjab,Police Verification,Submitted,Yes,No,Yes,193,High Risk
AGENCY_9933,GUARD_68380,Haryana,Aadhaar Card,Expired,No,Yes,Yes,318,High Risk
AGENCY_6723,GUARD_77603,Punjab,Affidavit,Submitted,Yes,No,No,161,High Risk
AGENCY_2453,GUARD_92661,Uttar Pradesh,GST Certificate,Missing,No,No,No,337,High Risk
AGENCY_3973,GUARD_14779,Delhi,Training Certificate,Submitted,No,No,Yes,275,High Risk
AGENCY_6521,GUARD_84976,Punjab,Police Verification,Expired,Yes,Yes,No,193,High Risk
AGENCY_3924,GUARD_92187,Rajasthan,Medical Fitness,Submitted,Yes,Yes,Yes,103,Low Risk
AGENCY_9384,GUARD_27293,Rajasthan,Address Proof,Verified,No,Yes,No,345,High Risk
AGENCY_6683,GUARD_95932,Punjab,Affidavit,Submitted,Yes,No,No,223,High Risk
AGENCY_3983,GUARD_84971,Punjab,Medical Fitness,Submitted,No,No,Yes,160,High Risk
AGENCY_6419,GUARD_95154,Uttar Pradesh,Character Certificate,Submitted,No,Yes,No,12,High Risk
AGENCY_9160,GUARD_63315,Haryana,Aadhaar Card,Expired,Yes,No,No,147,High Risk
AGENCY_1878,GUARD_22290,Haryana,Bank Passbook,Submitted,Yes,Yes,Yes,63,Low Risk
AGENCY_7064,GUARD_18310,Uttar Pradesh,Employment Contract,Expired,Yes,Yes,Yes,43,High Risk
AGENCY_5701,GUARD_78676,Rajasthan,Employment Contract,Verified,Yes,No,Yes,322,High Risk
AGENCY_8254,GUARD_52994,Haryana,Training Certificate,Submitted,No,Yes,No,188,High Risk
AGENCY_3310,GUARD_30860,Delhi,Character Certificate,Verified,Yes,Yes,Yes,192,Low Risk
AGENCY_1891,GUARD_92072,Delhi,EPF Registration,Submitted,No,Yes,Yes,184,High Risk
AGENCY_9354,GUARD_91726,Uttar Pradesh,Aadhaar Card,Missing,No,Yes,No,151,High Risk
AGENCY_1064,GUARD_47576,Rajasthan,EPF Registration,Expired,Yes,Yes,Yes,83,High Risk
AGENCY_6457,GUARD_79095,Haryana,Address Proof,Submitted,No,No,Yes,227,High Risk
AGENCY_8890,GUARD_47537,Delhi,Bank Passbook,Expired,No,Yes,No,261,High Risk
AGENCY_2344,GUARD_70752,Delhi,Character Certificate,Verified,Yes,Yes,Yes,59,Low Risk
AGENCY_3497,GUARD_30887,Punjab,PAN Card,Missing,Yes,No,No,364,High Risk
AGENCY_8041,GUARD_32981,Haryana,Shop Act License,Expired,No,Yes,No,16,High Risk
AGENCY_1500,GUARD_87049,Punjab,PAN Card,Submitted,No,Yes,Yes,216,High Risk
AGENCY_4392,GUARD_58210,Rajasthan,Medical Fitness,Verified,No,No,Yes,70,High Risk
AGENCY_6272,GUARD_36254,Punjab,Character Certificate,Expired,Yes,No,No,209,High Risk
AGENCY_6796,GUARD_63789,Haryana,EPF Registration,Submitted,No,No,Yes,342,High Risk
AGENCY_8184,GUARD_33854,Uttar Pradesh,Bank Passbook,Submitted,No,No,Yes,307,High Risk
AGENCY_7884,GUARD_24688,Haryana,ESIC Registration,Verified,Yes,Yes,No,85,Low Risk
AGENCY_4700,GUARD_68607,Punjab,Character Certificate,Expired,Yes,No,No,336,High Risk
AGENCY_7019,GUARD_79503,Haryana,Training Certificate,Submitted,No,No,Yes,230,High Risk
AGENCY_5493,GUARD_62188,Punjab,ESIC Registration,Verified,No,Yes,No,143,High Risk
AGENCY_8327,GUARD_86750,Uttar Pradesh,Bank Passbook,Missing,No,Yes,No,20,High Risk
AGENCY_4012,GUARD_93834,Delhi,Police Verification,Expired,No,No,No,196,High Risk
AGENCY_3071,GUARD_99723,Haryana,Medical Fitness,Expired,No,No,Yes,36,High Risk
AGENCY_4399,GUARD_26021,Haryana,Medical Fitness,Expired,Yes,Yes,No,203,High Risk
AGENCY_8038,GUARD_79046,Uttar Pradesh,Police Verification,Missing,No,No,Yes,136,High Risk
AGENCY_9194,GUARD_24068,Rajasthan,Character Certificate,Submitted,Yes,Yes,Yes,31,Low Risk
AGENCY_8932,GUARD_95396,Punjab,Employment Contract,Missing,Yes,No,No,27,High Risk
AGENCY_5569,GUARD_65853,Punjab,Aadhaar Card,Expired,No,No,No,325,High Risk
AGENCY_9094,GUARD_67034,Rajasthan,Character Certificate,Missing,Yes,No,Yes,232,High Risk
AGENCY_6505,GUARD_38246,Delhi,ESIC Registration,Verified,Yes,No,No,59,High Risk
AGENCY_5941,GUARD_25544,Rajasthan,EPF Registration,Verified,Yes,No,Yes,34,High Risk
AGENCY_4283,GUARD_69641,Rajasthan,Shop Act License,Missing,Yes,Yes,Yes,307,Medium Risk
AGENCY_4457,GUARD_54158,Punjab,Character Certificate,Verified,Yes,Yes,Yes,68,Low Risk
AGENCY_8807,GUARD_65113,Punjab,Aadhaar Card,Submitted,No,No,No,201,High Risk
AGENCY_7605,GUARD_89034,Rajasthan,ESIC Registration,Verified,No,No,No,20,High Risk
AGENCY_5328,GUARD_28017,Haryana,PAN Card,Missing,Yes,Yes,Yes,144,Medium Risk
AGENCY_9686,GUARD_30914,Haryana,Bank Passbook,Missing,No,No,Yes,349,High Risk
AGENCY_1637,GUARD_33615,Rajasthan,Aadhaar Card,Expired,Yes,Yes,Yes,212,High Risk
AGENCY_4934,GUARD_88599,Haryana,Shop Act License,Missing,Yes,Yes,No,169,Medium Risk
AGENCY_4520,GUARD_53598,Punjab,Character Certificate,Verified,No,Yes,Yes,163,High Risk
AGENCY_9820,GUARD_41360,Punjab,ESIC Registration,Submitted,No,No,Yes,269,High Risk
AGENCY_6827,GUARD_86495,Delhi,Medical Fitness,Missing,No,Yes,No,324,High Risk
AGENCY_3614,GUARD_36679,Delhi,GST Certificate,Missing,No,No,No,276,High Risk
AGENCY_2227,GUARD_67912,Punjab,Aadhaar Card,Missing,No,No,Yes,95,High Risk
AGENCY_2859,GUARD_77537,Uttar Pradesh,Employment Contract,Verified,Yes,No,Yes,255,High Risk
AGENCY_9975,GUARD_27273,Punjab,Aadhaar Card,Missing,Yes,No,Yes,138,High Risk
AGENCY_1283,GUARD_68774,Delhi,Affidavit,Submitted,Yes,Yes,Yes,272,Low Risk
AGENCY_5682,GUARD_99338,Delhi,Affidavit,Missing,No,No,No,198,High Risk
AGENCY_6401,GUARD_85770,Delhi,Shop Act License,Expired,Yes,No,Yes,216,High Risk
AGENCY_1946,GUARD_12461,Uttar Pradesh,EPF Registration,Expired,Yes,Yes,Yes,108,High Risk
AGENCY_2579,GUARD_45378,Uttar Pradesh,Address Proof,Verified,Yes,No,No,154,High Risk
AGENCY_9590,GUARD_45090,Delhi,Shop Act License,Submitted,Yes,No,No,138,High Risk
AGENCY_6828,GUARD_11488,Delhi,GST Certificate,Expired,Yes,No,Yes,294,High Risk
AGENCY_3743,GUARD_42712,Delhi,Address Proof,Submitted,Yes,Yes,Yes,75,Low Risk
AGENCY_4982,GUARD_70289,Punjab,EPF Registration,Verified,No,Yes,No,35,High Risk
AGENCY_9930,GUARD_12668,Punjab,Character Certificate,Expired,Yes,Yes,No,217,High Risk
AGENCY_3070,GUARD_32984,Punjab,Character Certificate,Verified,No,No,Yes,312,High Risk
AGENCY_6572,GUARD_79184,Rajasthan,Employment Contract,Expired,No,No,Yes,218,High Risk
AGENCY_3124,GUARD_40601,Punjab,Character Certificate,Verified,Yes,Yes,No,319,Low Risk
AGENCY_9724,GUARD_13076,Haryana,Medical Fitness,Expired,Yes,No,No,59,High Risk
AGENCY_3600,GUARD_74088,Uttar Pradesh,PAN Card,Expired,Yes,No,Yes,271,High Risk
AGENCY_4252,GUARD_24510,Uttar Pradesh,Address Proof,Verified,Yes,Yes,Yes,57,Low Risk
AGENCY_9091,GUARD_25703,Rajasthan,PAN Card,Verified,Yes,No,No,193,High Risk
AGENCY_3001,GUARD_50572,Punjab,Aadhaar Card,Verified,No,Yes,No,90,High Risk
AGENCY_1127,GUARD_48129,Haryana,Shop Act License,Expired,Yes,No,Yes,219,High Risk
AGENCY_9138,GUARD_26360,Haryana,Shop Act License,Expired,Yes,Yes,Yes,173,High Risk
AGENCY_1186,GUARD_41881,Punjab,Police Verification,Verified,Yes,Yes,No,157,Low Risk
AGENCY_1316,GUARD_83715,Delhi,Address Proof,Submitted,No,No,Yes,354,High Risk
AGENCY_5195,GUARD_65791,Rajasthan,Bank Passbook,Submitted,No,Yes,No,147,High Risk
AGENCY_8542,GUARD_16715,Uttar Pradesh,Police Verification,Submitted,Yes,Yes,No,17,Low Risk
AGENCY_8710,GUARD_28722,Punjab,Shop Act License,Expired,Yes,No,No,167,High Risk
AGENCY_9876,GUARD_84008,Punjab,PAN Card,Submitted,Yes,No,Yes,91,High Risk
AGENCY_9901,GUARD_79011,Delhi,Shop Act License,Missing,No,Yes,Yes,26,High Risk
AGENCY_8469,GUARD_14565,Rajasthan,Address Proof,Expired,No,Yes,Yes,20,High Risk
AGENCY_4119,GUARD_49355,Haryana,Address Proof,Missing,Yes,No,No,287,High Risk
AGENCY_2393,GUARD_83756,Haryana,Affidavit,Verified,Yes,No,No,335,High Risk
AGENCY_5500,GUARD_95048,Haryana,Employment Contract,Missing,No,No,Yes,54,High Risk
AGENCY_9429,GUARD_79881,Delhi,Employment Contract,Expired,No,Yes,No,220,High Risk
AGENCY_8318,GUARD_25962,Punjab,Medical Fitness,Submitted,Yes,Yes,Yes,48,Low Risk
AGENCY_4355,GUARD_35745,Haryana,Character Certificate,Missing,Yes,Yes,Yes,233,Medium Risk
AGENCY_7917,GUARD_75149,Punjab,Bank Passbook,Verified,No,No,No,223,High Risk
AGENCY_4996,GUARD_72403,Punjab,Aadhaar Card,Expired,No,Yes,No,351,High Risk
AGENCY_8374,GUARD_14604,Punjab,GST Certificate,Verified,No,No,Yes,348,High Risk
AGENCY_7173,GUARD_33627,Haryana,EPF Registration,Submitted,No,No,Yes,212,High Risk
AGENCY_3572,GUARD_24173,Punjab,Bank Passbook,Missing,No,Yes,No,30,High Risk
AGENCY_3380,GUARD_13731,Rajasthan,PAN Card,Expired,No,Yes,No,310,High Risk
AGENCY_8599,GUARD_40806,Haryana,Aadhaar Card,Expired,Yes,Yes,Yes,232,High Risk
AGENCY_6045,GUARD_93762,Punjab,Address Proof,Submitted,Yes,Yes,Yes,148,Low Risk
AGENCY_1664,GUARD_93667,Uttar Pradesh,EPF Registration,Submitted,Yes,No,No,59,High Risk
AGENCY_4565,GUARD_76155,Haryana,Aadhaar Card,Verified,Yes,No,Yes,306,High Risk
AGENCY_3085,GUARD_35484,Uttar Pradesh,Affidavit,Expired,No,Yes,No,101,High Risk
AGENCY_8805,GUARD_83006,Delhi,PAN Card,Submitted,No,Yes,Yes,265,High Risk
AGENCY_3742,GUARD_46418,Delhi,Aadhaar Card,Verified,No,Yes,Yes,217,High Risk
AGENCY_4195,GUARD_92997,Rajasthan,Bank Passbook,Submitted,Yes,Yes,Yes,164,Low Risk
AGENCY_9509,GUARD_85261,Uttar Pradesh,ESIC Registration,Missing,No,Yes,No,277,High Risk
AGENCY_2411,GUARD_77622,Rajasthan,Shop Act License,Missing,No,Yes,Yes,256,High Risk
AGENCY_4388,GUARD_42953,Uttar Pradesh,Employment Contract,Submitted,No,Yes,No,15,High Risk
AGENCY_1938,GUARD_17744,Rajasthan,Medical Fitness,Submitted,Yes,Yes,Yes,332,Low Risk
AGENCY_8498,GUARD_87087,Haryana,Police Verification,Expired,No,Yes,Yes,52,High Risk
AGENCY_4628,GUARD_41755,Delhi,Character Certificate,Verified,No,Yes,Yes,292,High Risk
AGENCY_8746,GUARD_95693,Rajasthan,EPF Registration,Submitted,No,No,Yes,15,High Risk
AGENCY_5124,GUARD_51356,Haryana,Aadhaar Card,Missing,Yes,Yes,Yes,197,Medium Risk
AGENCY_7783,GUARD_51335,Uttar Pradesh,Character Certificate,Expired,No,No,Yes,298,High Risk
AGENCY_2398,GUARD_49308,Delhi,GST Certificate,Missing,Yes,No,No,157,High Risk
AGENCY_1961,GUARD_96051,Rajasthan,Shop Act License,Expired,No,Yes,Yes,354,High Risk
AGENCY_3438,GUARD_90930,Uttar Pradesh,Address Proof,Expired,Yes,Yes,Yes,68,High Risk
AGENCY_9806,GUARD_76149,Haryana,Medical Fitness,Verified,No,Yes,No,213,High Risk
AGENCY_1259,GUARD_10544,Delhi,Employment Contract,Expired,Yes,No,No,82,High Risk
AGENCY_7357,GUARD_82551,Haryana,Affidavit,Verified,No,Yes,Yes,283,High Risk
AGENCY_9813,GUARD_93848,Uttar Pradesh,Address Proof,Submitted,No,No,No,70,High Risk
AGENCY_4326,GUARD_31155,Uttar Pradesh,Address Proof,Submitted,Yes,No,No,240,High Risk
AGENCY_1126,GUARD_66960,Punjab,ESIC Registration,Verified,No,No,No,259,High Risk
AGENCY_9421,GUARD_28485,Rajasthan,Medical Fitness,Missing,No,Yes,No,37,High Risk
AGENCY_1574,GUARD_15807,Haryana,Training Certificate,Missing,Yes,No,Yes,82,High Risk
AGENCY_2574,GUARD_95156,Rajasthan,GST Certificate,Verified,No,Yes,No,169,High Risk
AGENCY_5766,GUARD_86028,Rajasthan,Employment Contract,Verified,Yes,No,No,322,High Risk
AGENCY_5846,GUARD_24436,Punjab,Shop Act License,Submitted,Yes,Yes,Yes,295,Low Risk
AGENCY_7153,GUARD_62291,Delhi,Character Certificate,Verified,No,No,Yes,213,High Risk
AGENCY_6532,GUARD_32028,Rajasthan,Address Proof,Missing,No,Yes,Yes,240,High Risk
AGENCY_2810,GUARD_64795,Haryana,Affidavit,Expired,No,No,Yes,22,High Risk
AGENCY_1312,GUARD_29868,Punjab,GST Certificate,Verified,No,Yes,Yes,182,High Risk
AGENCY_1870,GUARD_59005,Haryana,Address Proof,Expired,Yes,No,Yes,288,High Risk
AGENCY_7177,GUARD_23371,Delhi,Employment Contract,Submitted,No,No,Yes,284,High Risk
AGENCY_2363,GUARD_72166,Uttar Pradesh,Employment Contract,Verified,Yes,No,Yes,36,High Risk
AGENCY_7882,GUARD_37904,Delhi,Shop Act License,Expired,Yes,Yes,Yes,23,High Risk
AGENCY_6946,GUARD_69260,Uttar Pradesh,Affidavit,Expired,No,Yes,Yes,123,High Risk
AGENCY_6244,GUARD_99708,Uttar Pradesh,Police Verification,Submitted,Yes,No,No,342,High Risk
AGENCY_5618,GUARD_73363,Haryana,Medical Fitness,Submitted,No,Yes,Yes,51,High Risk
AGENCY_7885,GUARD_66760,Rajasthan,Medical Fitness,Verified,No,Yes,Yes,148,High Risk
AGENCY_3857,GUARD_16939,Punjab,Address Proof,Missing,No,Yes,Yes,364,High Risk
AGENCY_3967,GUARD_57266,Uttar Pradesh,Bank Passbook,Missing,No,No,No,335,High Risk
AGENCY_6520,GUARD_33105,Delhi,Employment Contract,Submitted,No,Yes,No,40,High Risk
AGENCY_6021,GUARD_68204,Haryana,Medical Fitness,Submitted,No,Yes,Yes,245,High Risk
AGENCY_3199,GUARD_30859,Delhi,Bank Passbook,Expired,No,No,Yes,362,High Risk
AGENCY_9164,GUARD_31246,Uttar Pradesh,GST Certificate,Expired,No,No,No,145,High Risk
AGENCY_1835,GUARD_20848,Haryana,Address Proof,Verified,No,No,No,158,High Risk
AGENCY_6780,GUARD_59109,Rajasthan,Character Certificate,Submitted,No,No,No,212,High Risk
AGENCY_2783,GUARD_73434,Delhi,Aadhaar Card,Submitted,Yes,No,Yes,359,High Risk
AGENCY_8249,GUARD_49042,Punjab,EPF Registration,Verified,No,No,No,179,High Risk
AGENCY_9655,GUARD_23520,Punjab,Training Certificate,Missing,Yes,Yes,No,45,Medium Risk
AGENCY_8438,GUARD_49596,Punjab,Training Certificate,Verified,No,Yes,No,165,High Risk
AGENCY_9024,GUARD_10139,Punjab,Police Verification,Verified,No,Yes,No,261,High Risk
AGENCY_9706,GUARD_16819,Haryana,Address Proof,Verified,No,Yes,No,58,High Risk
AGENCY_6057,GUARD_18895,Rajasthan,Shop Act License,Submitted,Yes,No,Yes,335,High Risk
AGENCY_9529,GUARD_67900,Punjab,Affidavit,Verified,No,No,Yes,127,High Risk
AGENCY_8369,GUARD_83316,Haryana,PAN Card,Submitted,No,Yes,Yes,259,High Risk
AGENCY_6307,GUARD_52582,Rajasthan,Medical Fitness,Verified,No,Yes,Yes,31,High Risk
AGENCY_8325,GUARD_46804,Uttar Pradesh,PAN Card,Missing,Yes,Yes,No,310,Medium Risk
AGENCY_9524,GUARD_28521,Delhi,Character Certificate,Expired,Yes,Yes,Yes,66,High Risk
AGENCY_5365,GUARD_65759,Punjab,Aadhaar Card,Submitted,Yes,Yes,No,123,Low Risk
AGENCY_7924,GUARD_11614,Delhi,PAN Card,Missing,Yes,Yes,No,125,Medium Risk
AGENCY_1589,GUARD_68160,Rajasthan,Employment Contract,Missing,Yes,Yes,Yes,299,Medium Risk
AGENCY_3587,GUARD_99627,Haryana,Aadhaar Card,Submitted,Yes,No,Yes,138,High Risk
AGENCY_5307,GUARD_52660,Punjab,GST Certificate,Missing,No,No,Yes,296,High Risk
AGENCY_4124,GUARD_97468,Rajasthan,Shop Act License,Submitted,Yes,Yes,Yes,247,Low Risk
AGENCY_7392,GUARD_95944,Uttar Pradesh,Affidavit,Missing,Yes,Yes,Yes,349,Medium Risk
AGENCY_6409,GUARD_99216,Uttar Pradesh,Bank Passbook,Missing,No,Yes,No,278,High Risk
AGENCY_7203,GUARD_88511,Delhi,Medical Fitness,Verified,Yes,Yes,Yes,171,Low Risk
AGENCY_1745,GUARD_19911,Uttar Pradesh,Medical Fitness,Missing,Yes,No,Yes,154,High Risk
AGENCY_2445,GUARD_63472,Punjab,Training Certificate,Submitted,Yes,Yes,Yes,239,Low Risk
AGENCY_5047,GUARD_48494,Delhi,ESIC Registration,Expired,Yes,No,Yes,231,High Risk
AGENCY_2772,GUARD_28585,Delhi,Medical Fitness,Submitted,Yes,Yes,Yes,154,Low Risk
AGENCY_9997,GUARD_53072,Haryana,Character Certificate,Expired,Yes,No,Yes,200,High Risk
AGENCY_8436,GUARD_83864,Uttar Pradesh,Character Certificate,Expired,No,Yes,No,218,High Risk
AGENCY_5822,GUARD_39514,Rajasthan,Shop Act License,Expired,No,No,Yes,179,High Risk
AGENCY_8587,GUARD_91277,Rajasthan,Bank Passbook,Missing,No,No,No,164,High Risk
AGENCY_9937,GUARD_55669,Haryana,Bank Passbook,Missing,Yes,Yes,Yes,317,Medium Risk
AGENCY_4864,GUARD_92178,Delhi,Employment Contract,Verified,Yes,No,Yes,114,High Risk
AGENCY_5807,GUARD_43239,Uttar Pradesh,Bank Passbook,Missing,No,Yes,Yes,61,High Risk
AGENCY_5979,GUARD_90754,Delhi,Bank Passbook,Verified,Yes,No,Yes,306,High Risk
AGENCY_2266,GUARD_76286,Punjab,Bank Passbook,Verified,Yes,Yes,Yes,237,Low Risk
AGENCY_2511,GUARD_57001,Punjab,Bank Passbook,Submitted,No,No,Yes,336,High Risk
AGENCY_4043,GUARD_64244,Uttar Pradesh,ESIC Registration,Missing,No,Yes,Yes,79,High Risk
AGENCY_2399,GUARD_75938,Haryana,Aadhaar Card,Verified,Yes,Yes,No,170,Low Risk
AGENCY_7179,GUARD_51919,Punjab,Police Verification,Expired,No,No,Yes,129,High Risk
AGENCY_9090,GUARD_44137,Rajasthan,Aadhaar Card,Submitted,Yes,No,No,86,High Risk
AGENCY_7410,GUARD_97083,Haryana,Affidavit,Submitted,Yes,Yes,No,138,Low Risk
AGENCY_1477,GUARD_76078,Punjab,Employment Contract,Expired,Yes,Yes,No,40,High Risk
AGENCY_3410,GUARD_69245,Punjab,GST Certificate,Missing,No,No,Yes,83,High Risk
AGENCY_4052,GUARD_74692,Uttar Pradesh,Shop Act License,Expired,No,Yes,Yes,271,High Risk
AGENCY_6643,GUARD_67692,Punjab,Character Certificate,Verified,Yes,No,No,6,High Risk
AGENCY_8808,GUARD_93478,Uttar Pradesh,Employment Contract,Expired,No,Yes,No,308,High Risk
AGENCY_2860,GUARD_45324,Rajasthan,ESIC Registration,Missing,Yes,Yes,No,32,Medium Risk
AGENCY_4846,GUARD_40063,Uttar Pradesh,Character Certificate,Missing,No,Yes,Yes,299,High Risk
AGENCY_7538,GUARD_19242,Punjab,Shop Act License,Missing,Yes,No,Yes,328,High Risk
AGENCY_9372,GUARD_15623,Uttar Pradesh,GST Certificate,Expired,Yes,Yes,Yes,243,High Risk
AGENCY_9997,GUARD_98441,Haryana,Medical Fitness,Submitted,No,Yes,Yes,227,High Risk
AGENCY_5419,GUARD_40601,Uttar Pradesh,GST Certificate,Missing,Yes,No,No,125,High Risk
AGENCY_7913,GUARD_89182,Punjab,GST Certificate,Verified,No,No,No,118,High Risk
AGENCY_6211,GUARD_94444,Rajasthan,Training Certificate,Expired,Yes,Yes,No,204,High Risk
AGENCY_9502,GUARD_30136,Delhi,Aadhaar Card,Expired,Yes,No,Yes,187,High Risk
AGENCY_8015,GUARD_16823,Uttar Pradesh,Character Certificate,Missing,No,Yes,Yes,116,High Risk
AGENCY_4283,GUARD_44202,Rajasthan,Medical Fitness,Missing,Yes,No,No,296,High Risk
AGENCY_8950,GUARD_51816,Haryana,Employment Contract,Verified,No,No,No,119,High Risk
AGENCY_1593,GUARD_80800,Rajasthan,Training Certificate,Submitted,Yes,No,Yes,30,High Risk
AGENCY_7312,GUARD_83019,Delhi,Employment Contract,Expired,Yes,Yes,Yes,90,High Risk
AGENCY_6504,GUARD_67422,Uttar Pradesh,Employment Contract,Verified,No,Yes,Yes,284,High Risk
AGENCY_4133,GUARD_19697,Rajasthan,Character Certificate,Expired,No,No,Yes,260,High Risk
AGENCY_9532,GUARD_15362,Uttar Pradesh,Bank Passbook,Expired,No,No,Yes,289,High Risk
AGENCY_9554,GUARD_15982,Delhi,GST Certificate,Submitted,Yes,Yes,No,312,Low Risk
AGENCY_3227,GUARD_39403,Uttar Pradesh,PAN Card,Expired,Yes,Yes,Yes,200,High Risk
AGENCY_4951,GUARD_98221,Uttar Pradesh,Address Proof,Expired,No,Yes,No,174,High Risk
AGENCY_2796,GUARD_87652,Rajasthan,Address Proof,Expired,Yes,Yes,No,181,High Risk
AGENCY_3051,GUARD_71423,Rajasthan,EPF Registration,Verified,No,No,No,288,High Risk
AGENCY_7445,GUARD_67691,Rajasthan,Training Certificate,Verified,Yes,Yes,Yes,193,Low Risk
AGENCY_3969,GUARD_44858,Punjab,Bank Passbook,Verified,Yes,Yes,Yes,90,Low Risk
AGENCY_8319,GUARD_39274,Rajasthan,Character Certificate,Missing,Yes,Yes,Yes,82,Medium Risk
AGENCY_4043,GUARD_44570,Uttar Pradesh,ESIC Registration,Verified,Yes,Yes,No,276,Low Risk
AGENCY_8250,GUARD_24042,Haryana,Training Certificate,Submitted,Yes,No,Yes,155,High Risk
AGENCY_7739,GUARD_17573,Punjab,Police Verification,Expired,No,Yes,Yes,160,High Risk
AGENCY_4658,GUARD_38068,Uttar Pradesh,EPF Registration,Verified,No,No,No,352,High Risk
AGENCY_5993,GUARD_69281,Punjab,Address Proof,Missing,No,No,Yes,56,High Risk
AGENCY_3043,GUARD_91345,Rajasthan,ESIC Registration,Expired,No,No,Yes,254,High Risk
AGENCY_3370,GUARD_80398,Rajasthan,ESIC Registration,Submitted,No,Yes,Yes,65,High Risk
AGENCY_4753,GUARD_72269,Uttar Pradesh,Affidavit,Expired,Yes,Yes,No,38,High Risk
AGENCY_5528,GUARD_46025,Uttar Pradesh,Bank Passbook,Submitted,No,No,No,249,High Risk
AGENCY_8359,GUARD_41164,Punjab,Shop Act License,Verified,No,Yes,No,236,High Risk
AGENCY_2809,GUARD_76150,Delhi,Employment Contract,Missing,No,Yes,Yes,55,High Risk
AGENCY_9786,GUARD_85215,Rajasthan,Bank Passbook,Submitted,Yes,No,Yes,137,High Risk
AGENCY_5410,GUARD_90461,Rajasthan,PAN Card,Verified,No,Yes,Yes,37,High Risk
AGENCY_7184,GUARD_51819,Delhi,Medical Fitness,Verified,No,No,No,282,High Risk
AGENCY_2620,GUARD_84753,Delhi,Police Verification,Verified,No,No,Yes,66,High Risk
AGENCY_7368,GUARD_18911,Delhi,Training Certificate,Missing,No,Yes,Yes,218,High Risk
AGENCY_7274,GUARD_34898,Haryana,Employment Contract,Verified,Yes,Yes,Yes,127,Low Risk
AGENCY_7183,GUARD_20056,Punjab,Character Certificate,Verified,No,No,No,358,High Risk
AGENCY_4688,GUARD_80060,Uttar Pradesh,Aadhaar Card,Expired,No,Yes,No,16,High Risk
AGENCY_3837,GUARD_70097,Delhi,ESIC Registration,Verified,Yes,Yes,Yes,311,Low Risk
AGENCY_9703,GUARD_10580,Punjab,GST Certificate,Submitted,Yes,Yes,No,83,Low Risk
AGENCY_2259,GUARD_32463,Uttar Pradesh,Training Certificate,Submitted,No,Yes,Yes,207,High Risk
AGENCY_1136,GUARD_14301,Delhi,Police Verification,Verified,Yes,Yes,No,126,Low Risk
AGENCY_8405,GUARD_23242,Uttar Pradesh,Police Verification,Expired,Yes,No,No,168,High Risk
AGENCY_5465,GUARD_60428,Punjab,Affidavit,Submitted,No,No,Yes,314,High Risk
AGENCY_8880,GUARD_56615,Delhi,Aadhaar Card,Missing,Yes,Yes,Yes,239,Medium Risk
AGENCY_2069,GUARD_62116,Uttar Pradesh,ESIC Registration,Verified,Yes,No,Yes,318,High Risk
AGENCY_3082,GUARD_86898,Punjab,ESIC Registration,Missing,No,Yes,Yes,295,High Risk
AGENCY_4315,GUARD_86906,Punjab,ESIC Registration,Expired,No,No,Yes,240,High Risk
AGENCY_3306,GUARD_20217,Rajasthan,ESIC Registration,Verified,Yes,Yes,Yes,124,Low Risk
AGENCY_3406,GUARD_36704,Rajasthan,Medical Fitness,Expired,Yes,No,No,30,High Risk
AGENCY_2511,GUARD_29961,Delhi,Bank Passbook,Missing,Yes,No,Yes,289,High Risk
AGENCY_6146,GUARD_54772,Uttar Pradesh,Bank Passbook,Missing,Yes,No,No,302,High Risk
AGENCY_8414,GUARD_40079,Rajasthan,Medical Fitness,Verified,No,No,Yes,365,High Risk
AGENCY_9734,GUARD_64092,Rajasthan,Police Verification,Expired,No,Yes,No,229,High Risk
AGENCY_4703,GUARD_46428,Uttar Pradesh,EPF Registration,Expired,Yes,Yes,Yes,6,High Risk
AGENCY_6954,GUARD_46667,Uttar Pradesh,Aadhaar Card,Missing,Yes,Yes,Yes,200,Medium Risk
AGENCY_2348,GUARD_75303,Delhi,PAN Card,Submitted,Yes,Yes,Yes,55,Low Risk
AGENCY_5050,GUARD_24513,Rajasthan,Address Proof,Expired,Yes,Yes,Yes,139,High Risk
AGENCY_2762,GUARD_28649,Rajasthan,Police Verification,Submitted,No,Yes,Yes,222,High Risk
